commit,avg,anagram,binary_tree,bitcount1,bitcount2,bitcount3,bitcount4,bitcount5,bubble_sort,collatz,floyd,gcd,jenkins_hash,matmul1,matmul2,matmul3,matmul4,merge_sort,prime,quick_sort,radix_sort,rmq1d_naive,rmq1d_sparsetable,rmq2d_naive,rmq2d_sparsetable
Add CI for build and filechecks (#3),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),nan,0.9756974233400584,0.9964801966041744,0.9473288865840958,1.0,0.942625365046492,0.9998140103300632,1.0,0.9898589775697696,1.0,0.96899815644571,1.0,0.9895340077520024,0.9661760905242248,0.9775693075934584,0.9960252091343617,0.9803200688941204,0.98030326065444,0.9848478680601443,0.9642731672271166,0.9911628491150838,0.9753663158855826,0.9632943333848546,0.9714822253013576,nan
RemoveUnusedPass (#10),nan,0.9756974233400584,0.9903148873666738,0.9473288865840958,1.0,0.942625365046492,0.9998140103300632,1.0,0.9898589775697696,nan,0.96899815644571,1.0,0.9895340077520024,0.9661760905242248,0.9775693075934584,0.9960252091343617,nan,0.98030326065444,0.9848478680601443,0.9642731672271166,nan,0.9753663158855826,0.9618044714951034,0.9702424724384257,0.9309950324407512
Arithmetic pass (#8),nan,0.9756974233400584,0.9903148873666738,0.7894765081011359,0.8381079357418041,0.942625365046492,0.9709882056745894,0.977089725458776,0.9898589775697696,nan,0.96899815644571,1.0,0.9276279634380348,0.9661760905242248,0.9775693075934584,0.9960252091343617,nan,0.98030326065444,0.9848478680601443,0.9642731672271166,nan,0.9784438571876828,0.9606197394651852,0.9699358663062764,0.9310012182892498
Add SimplifyCFGPass (#9),nan,1.046826213644898,0.9836028893079886,0.7894765081011359,0.8678424947503599,0.942625365046492,0.957240675100522,0.977089725458776,0.9737206425867454,nan,0.960436609539936,1.10486060400174,0.9258630879487212,0.9660515677591396,0.9771685983727476,0.9838579285361868,nan,0.971165829865662,1.0245870593981548,0.961927588677692,nan,0.9721099203452176,0.956501762366568,0.955547019187818,0.9248936935452216
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,nan,1.046826213644898,0.9830195741881534,0.7894765081011359,0.9128125125998586,0.942625365046492,0.957240675100522,0.9855210208825264,0.9737206425867454,nan,0.961738559661502,1.10486060400174,0.9258630879487212,0.9660515677591396,0.9771685983727476,0.9838579285361868,nan,0.971165829865662,1.0248593542517896,0.961927588677692,nan,0.9763435458364186,0.9560651807211606,0.9554304098237496,0.9249529244876878
Support compiler options (#17),nan,1.046826213644898,0.9830195741881534,0.7894765081011359,0.9128125125998586,0.942625365046492,0.957240675100522,0.9855210208825264,0.9737206425867454,nan,0.961738559661502,1.10486060400174,0.9258630879487212,0.9660515677591396,0.9771685983727476,0.9838579285361868,nan,0.971165829865662,1.0248593542517896,0.961927588677692,nan,0.9763435458364186,0.9569127850110244,0.95231906665886,0.9249529244876878
Fix wrong return value (#35),nan,1.046826213644898,0.9830195741881534,0.7894765081011359,0.9128125125998586,0.942625365046492,0.957240675100522,0.9855210208825264,0.9737206425867454,nan,0.961738559661502,1.10486060400174,0.9258630879487212,0.9660515677591396,0.9771685983727476,0.9838579285361868,nan,0.971165829865662,1.0248593542517896,0.961927588677692,nan,0.9763435458364186,0.9566660104137068,0.9539358539343598,0.9249529244876878
Fix RemoveUnusedPass bug (#31),0.9695738906480651,1.046826213644898,0.9830195741881534,0.7894765081011359,0.9128125125998586,0.942625365046492,0.957240675100522,0.9855210208825264,0.9737206425867454,1.0209265035178268,0.961738559661502,1.10486060400174,0.9258630879487212,0.9660515677591396,0.9771685983727476,0.9838579285361868,0.9667998806775524,0.971165829865662,1.0248593542517896,0.961927588677692,0.9950658490221524,0.9732660045343328,0.957837130274365,0.9538136225482496,0.9333287537535708
Function inline pass bug fix (#20),0.9696760158533991,1.046826213644898,0.9835307187334892,0.7894765081011359,0.9128125125998586,0.942625365046492,0.957240675100522,0.9855210208825264,0.9737206425867454,1.0209265035178268,0.961738559661502,1.10486060400174,0.9258630879487212,0.9660515677591396,0.9771685983727476,0.9838579285361868,0.9667998806775524,0.971165829865662,1.0248593542517896,0.961927588677692,0.9950658490221524,0.9732660045343328,0.957503317720639,0.9555235105331086,0.9338925387051172
