commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),0.9957638818795164,0.985643528820616,0.9895982783357246,1.0125581892275524,1.02832502683595,1.0430608090231324,0.9868689155535432,0.9242924253600964
Function inline pass bug fix (#20),0.9957638818795164,0.985643528820616,0.9895982783357246,1.0125581892275524,1.02832502683595,1.0430608090231324,0.9868689155535432,0.9242924253600964
FunctionInlinePass Function Attribute 미확인 (#58),0.9957638818795164,0.985643528820616,0.9895982783357246,1.0125581892275524,1.02832502683595,1.0430608090231324,0.9868689155535432,0.9242924253600964
RemoveUnusedPass (#10),nan,nan,nan,nan,nan,nan,nan,0.323213107116512
Fix RemoveUnusedPass bug (#31),0.9957638818795164,0.985643528820616,0.9895982783357246,1.0125581892275524,1.02832502683595,1.0430608090231324,0.9868689155535432,0.9242924253600964
Arithmetic pass (#8),0.9957638818795164,0.985643528820616,0.9895982783357246,1.0125581892275524,1.02832502683595,1.0430608090231324,0.9868689155535432,0.9242924253600964
Fix wrong return value (#35),0.9957638818795164,0.985643528820616,0.9895982783357246,1.0125581892275524,1.02832502683595,1.0430608090231324,0.9868689155535432,0.9242924253600964
Add SimplifyCFGPass (#9),1.0002303514586277,0.988299475988802,0.995480631276901,1.0229093850638746,1.0481832975705296,1.071613592321276,0.986144441928911,0.8889816360601003
Support compiler options (#17),1.0002303514586277,0.988299475988802,0.995480631276901,1.0229093850638746,1.0481832975705296,1.071613592321276,0.986144441928911,0.8889816360601003
Automate testing benchmarks (#23),1.0002303514586277,0.988299475988802,0.995480631276901,1.0229093850638746,1.0481832975705296,1.071613592321276,0.986144441928911,0.8889816360601003
Phierasepass (#27),0.9912626246272197,0.9854281817529252,0.9911406025824964,1.0135289000137364,1.030658895965136,1.0463969638042352,0.9827031922119086,0.8889816360601003
Fix PhierasePass Bug (#47),0.9912626246272197,0.9854281817529252,0.9911406025824964,1.0135289000137364,1.030658895965136,1.0463969638042352,0.9827031922119086,0.8889816360601003
Add GVNPass (#25),0.9778292636194748,0.9725791400473764,0.9776542324246772,0.9984950930264505,1.0094387215342298,1.022605082691758,0.975050939551732,0.8889816360601003
Add BranchPredictPass (#29),0.9436203597196692,0.963965257339746,0.9668938307030128,0.9629634151925396,0.9601270401137912,0.9599568975028804,0.9601086710436948,0.8313274061420197
Implement basic LoopVectorizePass (#32),0.9044912187859728,0.912425525805757,0.8991750358680057,0.9165555029838672,0.91844263974911,0.9243297177608388,0.929182703192212,0.8313274061420197
Fix CI & compiler option (#42),0.9044912187859728,0.912425525805757,0.8991750358680057,0.9165555029838672,0.91844263974911,0.9243297177608388,0.929182703192212,0.8313274061420197
Implement LoopUnrollPass (#49),0.9230529659570517,0.9356830091163592,0.913235294117647,0.9228284924983592,0.921703276921526,0.9254966452166726,0.9453475209418158,0.8970765228869823
Supplement LoopVectorizePass (#48),0.9454785791236612,0.9616682219510444,0.9517575322812052,0.9519772890306628,0.9470723058533944,0.9475575207801566,0.9612406610821824,0.8970765228869823
Refactor and add comments (#62),0.9454785791236612,0.9616682219510444,0.9517575322812052,0.9519772890306628,0.9470723058533944,0.9475575207801566,0.9612406610821824,0.8970765228869823
MatmulTransposePass (#52),0.9454785791236612,0.9616682219510444,0.9517575322812052,0.9519772890306628,0.9470723058533944,0.9475575207801566,0.9612406610821824,0.8970765228869823
Implement ConstantMergePass (#60),0.9215996679656334,0.9616682219510444,0.9370157819225252,0.9378317739892246,0.9356059053491332,0.9403768960502098,0.9427213040525244,0.7959777924447723
Sccp pass (#45),0.9215996679656334,0.9616682219510444,0.9370157819225252,0.9378317739892246,0.9356059053491332,0.9403768960502098,0.9427213040525244,0.7959777924447723
Add MemoryToStackPass (#51),0.8633058728338148,0.895269542746393,0.8887015781922525,0.867565133777988,0.848804761677931,0.8728999841246957,0.8735340729001585,0.7963660364172847
Return correct PreservedAnalysis (#59),0.8633058728338148,0.895269542746393,0.8887015781922525,0.867565133777988,0.848804761677931,0.8728999841246957,0.8735340729001585,0.7963660364172847
Fix filecheck details (#61),0.8633058728338148,0.895269542746393,0.8887015781922525,0.867565133777988,0.848804761677931,0.8728999841246957,0.8735340729001585,0.7963660364172847
