commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RemoveUnusedPass (#10),nan,nan,nan,nan,nan,nan,nan,nan
Arithmetic pass (#8),nan,nan,nan,nan,nan,nan,nan,nan
Add SimplifyCFGPass (#9),nan,nan,nan,nan,nan,nan,nan,nan
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,nan,nan,nan,nan,nan,nan,nan,nan
Support compiler options (#17),nan,nan,nan,nan,nan,nan,nan,nan
Fix wrong return value (#35),nan,nan,nan,nan,nan,nan,nan,nan
Fix RemoveUnusedPass bug (#31),1.0209265035178265,0.977667493796526,0.977667493796526,1.0382870107770843,1.038200339558574,1.0380159304851555,1.0382999353587588,1.0383473208521627
Function inline pass bug fix (#20),1.0209265035178265,0.977667493796526,0.977667493796526,1.0382870107770843,1.038200339558574,1.0380159304851555,1.0382999353587588,1.0383473208521627
Automate testing benchmarks (#23),1.0209265035178265,0.977667493796526,0.977667493796526,1.0382870107770843,1.038200339558574,1.0380159304851555,1.0382999353587588,1.0383473208521627
Add GVNPass (#25),1.0209265035178265,0.977667493796526,0.977667493796526,1.0382870107770843,1.038200339558574,1.0380159304851555,1.0382999353587588,1.0383473208521627
Phierasepass (#27),0.9931673738659486,0.977667493796526,0.977667493796526,0.9994895065229722,0.9993054483716624,0.998913830557567,0.9995151906916612,0.9996126533247256
Add BranchPredictPass (#29),0.9931673738659486,0.977667493796526,0.977667493796526,0.9994895065229722,0.9993054483716624,0.998913830557567,0.9995151906916612,0.9996126533247256
Implement basic LoopVectorizePass (#32),0.9931673738659486,0.977667493796526,0.977667493796526,0.9994895065229722,0.9993054483716624,0.998913830557567,0.9995151906916612,0.9996126533247256
Update skeleton code (6/1),0.9931673738659486,0.977667493796526,0.977667493796526,0.9994895065229722,0.9993054483716624,0.998913830557567,0.9995151906916612,0.9996126533247256
Fix CI & compiler option (#42),0.9931673738659486,0.977667493796526,0.977667493796526,0.9994895065229722,0.9993054483716624,0.998913830557567,0.9995151906916612,0.9996126533247256
Fix PhierasePass Bug (#47),0.9931673738659486,0.977667493796526,0.977667493796526,0.9994895065229722,0.9993054483716624,0.998913830557567,0.9995151906916612,0.9996126533247256
Implement LoopUnrollPass (#49),0.9931673738659486,0.977667493796526,0.977667493796526,0.9994895065229722,0.9993054483716624,0.998913830557567,0.9995151906916612,0.9996126533247256
Supplement LoopVectorizePass (#48),0.9931673738659486,0.977667493796526,0.977667493796526,0.9994895065229722,0.9993054483716624,0.998913830557567,0.9995151906916612,0.9996126533247256
Sccp pass (#45),0.9931673738659486,0.977667493796526,0.977667493796526,0.9994895065229722,0.9993054483716624,0.998913830557567,0.9995151906916612,0.9996126533247256
Add MemoryToStackPass (#51),0.9688735920559883,0.8982630272952855,0.8982630272952855,0.9976744186046512,0.996835931470906,0.9950518947622496,0.9977914242620124,0.998235420701528
MatmulTransposePass (#52),0.9688735920559883,0.8982630272952855,0.8982630272952855,0.9976744186046512,0.996835931470906,0.9950518947622496,0.9977914242620124,0.998235420701528
Implement ConstantMergePass (#60),0.9688735920559883,0.8982630272952855,0.8982630272952855,0.9976744186046512,0.996835931470906,0.9950518947622496,0.9977914242620124,0.998235420701528
FunctionInlinePass Function Attribute 미확인 (#58),0.9688735920559883,0.8982630272952855,0.8982630272952855,0.9976744186046512,0.996835931470906,0.9950518947622496,0.9977914242620124,0.998235420701528
Return correct PreservedAnalysis (#59),0.9688735920559883,0.8982630272952855,0.8982630272952855,0.9976744186046512,0.996835931470906,0.9950518947622496,0.9977914242620124,0.998235420701528
Refactor and add comments (#62),0.9688735920559883,0.8982630272952855,0.8982630272952855,0.9976744186046512,0.9968359314709061,0.9950518947622495,0.9977914242620124,0.9982354207015279
