commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt,input8.txt
Add CI for build and filechecks (#3),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),0.9895340077520024,1.0,0.9329864061172471,0.9895352932298044,0.995447334912539,0.9988445922403536,0.9996133145468652,0.9998838567612696,0.9999612642079404
RemoveUnusedPass (#10),0.9895340077520024,1.0,0.9329864061172471,0.9895352932298044,0.995447334912539,0.9988445922403536,0.9996133145468652,0.9998838567612696,0.9999612642079404
Arithmetic pass (#8),0.9276279634380349,1.0,0.8374044180118946,0.9201059886967752,0.927584170952574,0.9328780304630476,0.9340338784792628,0.9344552891177236,0.9345619317830018
Add SimplifyCFGPass (#9),0.9258630879487212,1.0,0.818500424808836,0.918697278170018,0.927719328197358,0.9341471736740342,0.9355612860191456,0.9360731281384762,0.936206084581902
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,0.9258630879487212,1.0,0.818500424808836,0.918697278170018,0.927719328197358,0.9341471736740342,0.9355612860191456,0.9360731281384762,0.936206084581902
Support compiler options (#17),0.9258630879487212,1.0,0.818500424808836,0.918697278170018,0.927719328197358,0.9341471736740342,0.9355612860191456,0.9360731281384762,0.936206084581902
Fix wrong return value (#35),0.9258630879487212,1.0,0.818500424808836,0.918697278170018,0.927719328197358,0.9341471736740342,0.9355612860191456,0.9360731281384762,0.936206084581902
Fix RemoveUnusedPass bug (#31),0.9258630879487212,1.0,0.818500424808836,0.918697278170018,0.927719328197358,0.9341471736740342,0.9355612860191456,0.9360731281384762,0.936206084581902
Function inline pass bug fix (#20),0.9258630879487212,1.0,0.818500424808836,0.918697278170018,0.927719328197358,0.9341471736740342,0.9355612860191456,0.9360731281384762,0.936206084581902
Automate testing benchmarks (#23),0.9258630879487212,1.0,0.818500424808836,0.918697278170018,0.927719328197358,0.9341471736740342,0.9355612860191456,0.9360731281384762,0.936206084581902
Add GVNPass (#25),0.9231591587332587,1.0,0.8163763806287171,0.9156786127555384,0.9244613272441436,0.9308506509097936,0.93225270861076,0.9327612310965536,0.9328923586205627
Phierasepass (#27),0.9231591587332587,1.0,0.8163763806287171,0.9156786127555384,0.9244613272441436,0.9308506509097936,0.93225270861076,0.9327612310965536,0.9328923586205627
Add BranchPredictPass (#29),0.8756206245786989,1.0,0.7877017841971113,0.861342635294907,0.8662014412030417,0.8713832577804979,0.8724735543401816,0.8728857620548063,0.8729765617590456
Implement basic LoopVectorizePass (#32),0.8756206245786989,1.0,0.7877017841971113,0.861342635294907,0.8662014412030417,0.8713832577804979,0.8724735543401816,0.8728857620548063,0.8729765617590456
Update skeleton code (6/1),0.8756206245786989,1.0,0.7877017841971113,0.861342635294907,0.8662014412030417,0.8713832577804979,0.8724735543401816,0.8728857620548063,0.8729765617590456
Fix CI & compiler option (#42),0.8756206245786989,1.0,0.7877017841971113,0.861342635294907,0.8662014412030417,0.8713832577804979,0.8724735543401816,0.8728857620548063,0.8729765617590456
Fix PhierasePass Bug (#47),0.8756206245786989,1.0,0.7877017841971113,0.861342635294907,0.8662014412030417,0.8713832577804979,0.8724735543401816,0.8728857620548063,0.8729765617590456
