commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt,input8.txt
Add CI for build and filechecks (#3),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),0.9960252091343618,1.0,0.977900226891004,0.9943877630271772,0.9985539365521688,0.9990696801153658,0.9995325490435208,0.9996878373302904,0.9990696801153658
Function inline pass bug fix (#20),0.9960252091343618,1.0,0.977900226891004,0.9943877630271772,0.9985539365521688,0.9990696801153658,0.9995325490435208,0.9996878373302904,0.9990696801153658
FunctionInlinePass Function Attribute 미확인 (#58),0.9960252091343618,1.0,0.977900226891004,0.9943877630271772,0.9985539365521688,0.9990696801153658,0.9995325490435208,0.9996878373302904,0.9990696801153658
RemoveUnusedPass (#10),0.9960252091343618,1.0,0.977900226891004,0.9943877630271772,0.9985539365521688,0.9990696801153658,0.9995325490435208,0.9996878373302904,0.9990696801153658
Fix RemoveUnusedPass bug (#31),0.9960252091343618,1.0,0.977900226891004,0.9943877630271772,0.9985539365521688,0.9990696801153658,0.9995325490435208,0.9996878373302904,0.9990696801153658
Arithmetic pass (#8),0.9960252091343618,1.0,0.977900226891004,0.9943877630271772,0.9985539365521688,0.9990696801153658,0.9995325490435208,0.9996878373302904,0.9990696801153658
Fix wrong return value (#35),0.9960252091343618,1.0,0.977900226891004,0.9943877630271772,0.9985539365521688,0.9990696801153658,0.9995325490435208,0.9996878373302904,0.9990696801153658
Add SimplifyCFGPass (#9),0.9837706562092232,0.9090909090909092,0.9743642631935644,0.9934152454289984,0.997997037207554,0.9985419617998068,0.9990262223207744,0.999187648832373,0.9985419617998068
Support compiler options (#17),0.9837706562092232,0.9090909090909092,0.9743642631935644,0.9934152454289984,0.997997037207554,0.9985419617998068,0.9990262223207744,0.999187648832373,0.9985419617998068
Automate testing benchmarks (#23),0.9837706562092232,0.9090909090909092,0.9743642631935644,0.9934152454289984,0.997997037207554,0.9985419617998068,0.9990262223207744,0.999187648832373,0.9985419617998068
Phierasepass (#27),0.9837706562092232,0.9090909090909092,0.9743642631935644,0.9934152454289984,0.997997037207554,0.9985419617998068,0.9990262223207744,0.999187648832373,0.9985419617998068
Fix PhierasePass Bug (#47),0.9837706562092232,0.9090909090909092,0.9743642631935644,0.9934152454289984,0.997997037207554,0.9985419617998068,0.9990262223207744,0.999187648832373,0.9985419617998068
Add GVNPass (#25),0.9259678341464368,0.9090909090909092,0.8956006718331025,0.9335689437310772,0.9340792274040716,0.9339369584824112,0.9337905645255704,0.9337384396219416,0.9339369584824112
Add BranchPredictPass (#29),0.8825046616339122,0.6363636363636364,0.8567050711612695,0.9168132759457904,0.9283925351562864,0.9297369393693968,0.9309420843080256,0.9313468113974952,0.9297369393693968
Implement basic LoopVectorizePass (#32),0.8825046616339122,0.6363636363636364,0.8567050711612695,0.9168132759457904,0.9283925351562864,0.9297369393693968,0.9309420843080256,0.9313468113974952,0.9297369393693968
Fix CI & compiler option (#42),0.8825046616339122,0.6363636363636364,0.8567050711612695,0.9168132759457904,0.9283925351562864,0.9297369393693968,0.9309420843080256,0.9313468113974952,0.9297369393693968
Implement LoopUnrollPass (#49),0.8920010949610044,0.6363636363636364,0.9375018416477592,0.9151660742638752,0.9272227340579002,0.929087639614981,0.93050910531589,0.931070088809014,0.929087639614981
Supplement LoopVectorizePass (#48),0.7544469785855443,0.6363636363636364,0.8147744349824675,0.7625436197780364,0.7641313237542079,0.7646773267995208,0.7641652084854049,0.7642429517215599,0.7646773267995208
Refactor and add comments (#62),0.7544469785855443,0.6363636363636364,0.8147744349824675,0.7625436197780364,0.7641313237542079,0.7646773267995208,0.7641652084854049,0.7642429517215599,0.7646773267995208
MatmulTransposePass (#52),0.7196968219893454,0.6363636363636364,0.8566461384329788,0.7319788774580552,0.7099967378717027,0.707495490522245,0.7042253634431501,0.7033728413007502,0.707495490522245
Implement ConstantMergePass (#60),0.7131498915222118,0.6363636363636364,0.8566461384329788,0.7022846734603325,0.7018551749842452,0.7024355814812261,0.7015628520857948,0.701615493888254,0.7024355814812261
Sccp pass (#45),0.7131498915222118,0.6363636363636364,0.8566461384329788,0.7022846734603325,0.7018551749842452,0.7024355814812261,0.7015628520857948,0.701615493888254,0.7024355814812261
Add MemoryToStackPass (#51),0.708831785182425,0.8181818181818182,0.7266405398237912,0.6463027784962853,0.6778088353113602,0.6992708121472723,0.7015631136862557,0.7016155716653435,0.6992708121472723
Return correct PreservedAnalysis (#59),0.708831785182425,0.8181818181818182,0.7266405398237912,0.6463027784962853,0.6778088353113602,0.6992708121472723,0.7015631136862557,0.7016155716653435,0.6992708121472723
Fix filecheck details (#61),0.708831785182425,0.8181818181818182,0.7266405398237912,0.6463027784962853,0.6778088353113602,0.6992708121472723,0.7015631136862557,0.7016155716653435,0.6992708121472723
