commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),0.9753663158855826,0.9334664005322688,0.9595744680851064,0.9616303883909516,0.9792114198600236,0.994882052465449,0.9988595100596308,0.9999399718056484
RemoveUnusedPass (#10),0.9753663158855826,0.9334664005322688,0.9595744680851064,0.9616303883909516,0.9792114198600236,0.994882052465449,0.9988595100596308,0.9999399718056484
Arithmetic pass (#8),0.9784438571876825,0.940119760479042,0.9651595744680852,0.9671361502347418,0.9819832305453536,0.9957094418745532,0.9990488687553986,0.9999499739566036
Add SimplifyCFGPass (#9),0.9721099203452177,0.9201596806387226,0.9563829787234044,0.9591549295774648,0.9755734183355276,0.994799019449273,0.9987689496866926,0.999930466005439
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,0.9763435458364186,0.9334664005322688,0.9626329787234044,0.9650874946649594,0.9786917053565242,0.9956272737856292,0.9989584986353446,0.9999404691567992
Support compiler options (#17),0.9763435458364186,0.9334664005322688,0.9626329787234044,0.9650874946649594,0.9786917053565242,0.9956272737856292,0.9989584986353446,0.9999404691567992
Fix wrong return value (#35),0.9763435458364186,0.9334664005322688,0.9626329787234044,0.9650874946649594,0.9786917053565242,0.9956272737856292,0.9989584986353446,0.9999404691567992
Fix RemoveUnusedPass bug (#31),0.9732660045343329,0.9268130405854956,0.9570478723404257,0.9595817328211697,0.975919894671194,0.9947998843765248,0.9987691399395768,0.9999304670059442
Function inline pass bug fix (#20),0.9732660045343329,0.9268130405854956,0.9570478723404257,0.9595817328211697,0.975919894671194,0.9947998843765248,0.9987691399395768,0.9999304670059442
Automate testing benchmarks (#23),0.9732660045343329,0.9268130405854956,0.9570478723404257,0.9595817328211697,0.975919894671194,0.9947998843765248,0.9987691399395768,0.9999304670059442
Add GVNPass (#25),0.9763435458364186,0.9334664005322688,0.9626329787234044,0.9650874946649594,0.9786917053565242,0.9956272737856292,0.9989584986353446,0.9999404691567992
Phierasepass (#27),0.9573474146119543,0.9268130405854956,0.9515957446808512,0.952752880921895,0.9663917954403716,0.967683550104284,0.9681990591576316,0.9679958313931498
Add BranchPredictPass (#29),0.8919538488798013,0.9201596806387226,0.902127659574468,0.8986769099445155,0.9075601136442382,0.8774701673616933,0.8706028872283069,0.8670795237666652
Implement basic LoopVectorizePass (#32),0.9109272809561234,0.9268130405854956,0.9131648936170214,0.9109261630388392,0.9197907282932576,0.9054096528995044,0.90136232670602,0.899024161552726
Update skeleton code (6/1),0.914004822258209,0.9334664005322688,0.91875,0.916431924882629,0.9225625389785878,0.9062370423086084,0.9015516854017878,0.8990341637035811
Fix CI & compiler option (#42),0.914004822258209,0.9334664005322688,0.91875,0.916431924882629,0.9225625389785878,0.9062370423086084,0.9015516854017878,0.8990341637035811
Fix PhierasePass Bug (#47),0.914004822258209,0.9334664005322688,0.91875,0.916431924882629,0.9225625389785878,0.9062370423086084,0.9015516854017878,0.8990341637035811
Implement LoopUnrollPass (#49),1.0326107667391418,1.3320026613439786,1.2413563829787233,1.2356380708493384,1.109070750467743,0.8239829796155674,0.7541618436767771,0.7320626782418642
Supplement LoopVectorizePass (#48),1.0326107667391418,1.3320026613439786,1.2413563829787233,1.2356380708493384,1.109070750467743,0.8239829796155674,0.7541618436767771,0.7320626782418642
Sccp pass (#45),1.0326107667391418,1.3320026613439786,1.2413563829787233,1.2356380708493384,1.109070750467743,0.8239829796155674,0.7541618436767771,0.7320626782418642
Add MemoryToStackPass (#51),0.9799022488263992,1.3293413173652695,1.1945478723404257,1.1842509603072982,1.0417157508142194,0.7582170251242337,0.6866619467462771,0.6645808690870709
MatmulTransposePass (#52),0.9799022488263992,1.3293413173652695,1.1945478723404255,1.1842509603072982,1.0417157508142194,0.7582170251242337,0.6866619467462771,0.6645808690870709
