commit,avg,anagram,binary_tree,bitcount1,bitcount2,bitcount3,bitcount4,bitcount5,bubble_sort,collatz,floyd,gcd,jenkins_hash,matmul1,matmul2,matmul3,matmul4,merge_sort,prime,quick_sort,radix_sort,rmq1d_naive,rmq1d_sparsetable,rmq2d_naive,rmq2d_sparsetable
Add CI for build and filechecks (#3),92371023.05762368,50315195.70001667,11177401.342857145,257.4,246.97142857142856,196.82857142857145,16360.371428571432,513.4571428571428,617918828.3182,1163.9857142857145,371170.3,113.42857142857144,305642.1875,203837484.606,452951016.07425,149981899.55345,518896537.77121246,4009756.5666666655,24399395.4714,2919194.966666667,5419543.950016667,143702033.61428574,5288170.657028572,2045718.8,23346711.06056
Function inline pass (#7),nan,49303249.02971667,11664294.029142857,254.4,246.97142857142856,193.82857142857145,16357.328571428574,513.4571428571428,611412929.4376143,1163.9857142857145,356360.24000000005,113.42857142857144,305586.5,199101598.49925,448679028.3723375,149923704.428475,507920458.2785125,3953920.683333333,24228158.485585712,2815087.716666667,5378518.2165,143691729.27407143,5182766.442714284,2034209.28,nan
RemoveUnusedPass (#10),nan,49303249.02971667,11600193.814857144,254.4,246.97142857142856,193.82857142857145,16357.328571428574,513.4571428571428,611412929.4376143,nan,356360.24000000005,113.42857142857144,305586.5,199101598.49925,448679028.3723375,149923704.428475,nan,3953920.683333333,24228158.485585712,2815087.716666667,nan,143691729.27407143,5161835.799885714,2033404.9,21515148.72208
Arithmetic pass (#8),nan,49303249.02971667,11600193.814857144,202.45714285714288,195.02857142857144,193.82857142857145,15885.728571428572,499.57142857142856,611412929.4376143,nan,356360.24000000005,113.42857142857144,285577.25,199101598.49925,448679028.3723375,149923704.428475,nan,3953920.683333333,24228158.485585712,2815087.716666667,nan,143693440.60265714,5145028.442757143,2036644.16,21515150.96208
Add SimplifyCFGPass (#9),nan,52935630.4687,11675346.972014287,202.45714285714288,208.45714285714288,193.82857142857145,15660.814285714285,499.57142857142856,611412921.9519,nan,353635.54000000004,128.85714285714286,286065.6,199082401.686725,448659733.2475125,149848287.80324998,nan,3922492.1666666665,26361340.599342857,2811441.25,nan,143690286.97407144,5113030.214171429,1994836.44,21306286.3821
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,nan,52935630.4687,11671390.414871428,202.45714285714288,222.8857142857143,193.82857142857145,15660.814285714285,504.4285714285714,611412921.9519,nan,354386.88,128.85714285714286,286065.6,199082401.686725,448659733.2475125,149848287.80324998,nan,3922492.1666666665,26365186.813628573,2811441.25,nan,143691999.30264285,5104703.042771429,1995138.74,21306287.3821
Support compiler options (#17),nan,52935630.4687,11671390.414871428,202.45714285714288,222.8857142857143,193.82857142857145,15660.814285714285,504.4285714285714,611412921.9519,nan,354386.88,128.85714285714286,286065.6,199082401.686725,448659733.2475125,149848287.80324998,nan,3922492.1666666665,26365186.813628573,2811441.25,nan,143691999.30264285,5120221.242714286,1993288.14,21306287.3821
Fix wrong return value (#35),nan,52935630.4687,11671390.414871428,202.45714285714288,222.8857142857143,193.82857142857145,15660.814285714285,504.4285714285714,611412921.9519,nan,354386.88,128.85714285714286,286065.6,199082401.686725,448659733.2475125,149848287.80324998,nan,3922492.1666666665,26365186.813628573,2811441.25,nan,143691999.30264285,5113182.399914286,1995104.96,21306287.3821
Fix RemoveUnusedPass bug (#31),91332377.9831925,52935630.4687,11671390.414871428,202.45714285714288,222.8857142857143,193.82857142857145,15660.814285714285,504.4285714285714,611412921.9519,1207.8285714285714,354386.88,128.85714285714286,286065.6,199082401.686725,448659733.2475125,149848287.80324998,506738694.13825005,3922492.1666666665,26365186.813628573,2811441.25,5401022.23315,143690287.97407144,5129838.485614286,1993321.92,21655847.46228
Function inline pass bug fix (#20),91332554.03402524,52935630.4687,11675213.6863,202.45714285714288,222.8857142857143,193.82857142857145,15660.814285714285,504.4285714285714,611412921.9519,1207.8285714285714,354386.88,128.85714285714286,286065.6,199082401.686725,448659733.2475125,149848287.80324998,506738694.13825005,3922492.1666666665,26365186.813628573,2811441.25,5401022.23315,143690287.97407144,5128549.414171428,1994906.64,21655953.76228
Automate testing benchmarks (#23),91332559.58759665,52935630.4687,11675346.972014287,202.45714285714288,222.8857142857143,193.82857142857145,15660.814285714285,504.4285714285714,611412921.9519,1207.8285714285714,354386.88,128.85714285714286,286065.6,199082401.686725,448659733.2475125,149848287.80324998,506738694.13825005,3922492.1666666665,26365186.813628573,2811441.25,5401022.23315,143690287.97407144,5128549.414171428,1994906.64,21655953.76228
Add GVNPass (#25),87313949.99752095,49900948.67011666,11404839.314771429,202.45714285714288,222.8857142857143,193.82857142857145,15660.814285714285,504.4285714285714,565898418.9887,1207.8285714285714,332084.64,128.85714285714286,285053.6,199082397.686725,444465340.3763875,140047608.2585,475855619.804275,3748588.3166666655,25222842.213985715,2704267.9,5170962.883183333,143691999.30264285,5045680.442728572,1986720.96,20673305.48182
