commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt
Add CI for build and filechecks (#3),50315195.70001667,237903.0,223941.6,23217951.0,22945687.8,23202123.4,232063567.4001
Function inline pass (#7),49303249.02971667,230147.0,216639.6,22749511.9998,22482757.7998,22733684.3998,227406753.3789
RemoveUnusedPass (#10),49303249.02971667,230147.0,216639.6,22749511.9998,22482757.7998,22733684.3998,227406753.3789
Arithmetic pass (#8),49303249.02971667,230147.0,216639.6,22749511.9998,22482757.7998,22733684.3998,227406753.3789
Add SimplifyCFGPass (#9),52935630.4687,246517.0,232041.8,24423559.8993,24137081.8993,24423559.8993,244151022.3143
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,52935630.4687,246517.0,232041.8,24423559.8993,24137081.8993,24423559.8993,244151022.3143
Support compiler options (#17),52935630.4687,246517.0,232041.8,24423559.8993,24137081.8993,24423559.8993,244151022.3143
Fix wrong return value (#35),52935630.4687,246517.0,232041.8,24423559.8993,24137081.8993,24423559.8993,244151022.3143
Fix RemoveUnusedPass bug (#31),52935630.4687,246517.0,232041.8,24423559.8993,24137081.8993,24423559.8993,244151022.3143
Function inline pass bug fix (#20),52935630.4687,246517.0,232041.8,24423559.8993,24137081.8993,24423559.8993,244151022.3143
Automate testing benchmarks (#23),52935630.4687,246517.0,232041.8,24423559.8993,24137081.8993,24423559.8993,244151022.3143
Add GVNPass (#25),49900948.67011666,232397.0,218749.8,23023777.6991,22753724.6991,23023777.6991,230153265.1234
Phierasepass (#27),49900948.67011666,232397.0,218749.8,23023777.6991,22753724.6991,23023777.6991,230153265.1234
Add BranchPredictPass (#29),46570736.67216667,216791.0,204061.8,21487531.6992,21235484.6992,21487531.6992,214793019.1354
Implement basic LoopVectorizePass (#32),46570736.67216667,216791.0,204061.8,21487531.6992,21235484.6992,21487531.6992,214793019.1354
Update skeleton code (6/1),46570736.67216667,216791.0,204061.8,21487531.6992,21235484.6992,21487531.6992,214793019.1354
Fix CI & compiler option (#42),46570736.67216667,216791.0,204061.8,21487531.6992,21235484.6992,21487531.6992,214793019.1354
Fix PhierasePass Bug (#47),46570736.67216667,216791.0,204061.8,21487531.6992,21235484.6992,21487531.6992,214793019.1354
Implement LoopUnrollPass (#49),45630886.63336667,231314.8,217736.6,21061226.2,20814189.8,21061226.2,210399626.2002
Supplement LoopVectorizePass (#48),45630886.63336667,231314.8,217736.6,21061226.2,20814189.8,21061226.2,210399626.2002
Sccp pass (#45),45629318.566700004,229727.8,216243.6,21059639.2,20812622.4,21059639.2,210398039.2002
Add MemoryToStackPass (#51),43405030.6667,219491.9,206607.7,20033675.3,19798658.5,20033675.3,200138075.3002
