commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),11183935.471428571,1393.1,2788.0,32759.5,451353.5,77791894.3,2208.5,5151.4
Function inline pass (#7),11664294.029142857,1373.1,2759.0,33170.9,464138.1,81141676.204,2179.5,4761.4
Function inline pass bug fix (#20),11664294.029142857,1373.1,2759.0,33170.9,464138.1,81141676.204,2179.5,4761.4
FunctionInlinePass Function Attribute 미확인 (#58),11664294.029142857,1373.1,2759.0,33170.9,464138.1,81141676.204,2179.5,4761.4
RemoveUnusedPass (#10),nan,nan,nan,nan,nan,nan,nan,1665.0
Fix RemoveUnusedPass bug (#31),11664294.029142857,1373.1,2759.0,33170.9,464138.1,81141676.204,2179.5,4761.4
Arithmetic pass (#8),11664294.029142857,1373.1,2759.0,33170.9,464138.1,81141676.204,2179.5,4761.4
Fix wrong return value (#35),11664294.029142857,1373.1,2759.0,33170.9,464138.1,81141676.204,2179.5,4761.4
Add SimplifyCFGPass (#9),11982910.300614286,1376.8,2775.4,33510.0,473101.2,83362851.3043,2177.9,4579.5
Support compiler options (#17),11982910.300614286,1376.8,2775.4,33510.0,473101.2,83362851.3043,2177.9,4579.5
Automate testing benchmarks (#23),11982910.300614286,1376.8,2775.4,33510.0,473101.2,83362851.3043,2177.9,4579.5
Phierasepass (#27),11701497.443442855,1372.8,2763.3,33202.7,465191.5,81401202.0041,2170.3,4579.5
Fix PhierasePass Bug (#47),11701497.443442855,1372.8,2763.3,33202.7,465191.5,81401202.0041,2170.3,4579.5
Add GVNPass (#25),11435646.271914287,1354.9,2725.7,32710.2,455613.7,79550386.5034,2153.4,4579.5
Add BranchPredictPass (#29),10736029.986157143,1342.9,2695.7,31546.2,433356.7,74676865.5031,2120.4,4282.5
Implement basic LoopVectorizePass (#32),10337148.643199999,1271.1,2506.9,30025.9,414542.3,71905359.7024,2052.1,4282.5
Fix CI & compiler option (#42),10337148.643199999,1271.1,2506.9,30025.9,414542.3,71905359.7024,2052.1,4282.5
Implement LoopUnrollPass (#49),10350420.171385715,1303.5,2546.1,30231.4,416014.0,71996137.1997,2087.8,4621.2
Supplement LoopVectorizePass (#48),10597383.214242859,1339.7,2653.5,31186.3,427464.4,73712294.4997,2122.9,4621.2
Refactor and add comments (#62),10597383.214242859,1339.7,2653.5,31186.3,427464.4,73712294.4997,2122.9,4621.2
MatmulTransposePass (#52),10597383.214242859,1339.7,2653.5,31186.3,427464.4,73712294.4997,2122.9,4621.2
Implement ConstantMergePass (#60),10516692.3571,1339.7,2612.4,30722.9,422289.0,73153700.0997,2082.0,4100.4
Sccp pass (#45),10516692.3571,1339.7,2612.4,30722.9,422289.0,73153700.0997,2082.0,4100.4
Add MemoryToStackPass (#51),9760833.114214288,1247.2,2477.7,28421.0,383111.0,67904543.2995,1929.2,4102.4
Return correct PreservedAnalysis (#59),9760833.114214288,1247.2,2477.7,28421.0,383111.0,67904543.2995,1929.2,4102.4
Fix filecheck details (#61),9760833.114214288,1247.2,2477.7,28421.0,383111.0,67904543.2995,1929.2,4102.4
