commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),246.97142857142856,82.2,508.8,145.4,19.0,34.8,445.6,493.0
Function inline pass (#7),246.97142857142856,82.2,508.8,145.4,19.0,34.8,445.6,493.0
RemoveUnusedPass (#10),246.97142857142856,82.2,508.8,145.4,19.0,34.8,445.6,493.0
Arithmetic pass (#8),195.02857142857144,67.8,397.2,116.6,19.0,31.2,348.4,385.0
Add SimplifyCFGPass (#9),208.45714285714286,70.8,427.2,123.6,18.0,31.2,374.4,414.0
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,222.8857142857143,74.8,458.2,131.6,18.0,32.2,401.4,444.0
Support compiler options (#17),222.8857142857143,74.8,458.2,131.6,18.0,32.2,401.4,444.0
Fix wrong return value (#35),222.8857142857143,74.8,458.2,131.6,18.0,32.2,401.4,444.0
Automate testing benchmarks (#23),222.8857142857143,74.8,458.2,131.6,18.0,32.2,401.4,444.0
Add GVNPass (#25),222.8857142857143,74.8,458.2,131.6,18.0,32.2,401.4,444.0
Phierasepass (#27),178.6,61.8,364.2,106.6,17.0,28.2,319.4,353.0
Add BranchPredictPass (#29),178.6,61.8,364.2,106.6,17.0,28.2,319.4,353.0
Implement basic LoopVectorizePass (#32),178.6,61.8,364.2,106.6,17.0,28.2,319.4,353.0
