commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),617918828.3182,4358.2,410618.6,42712405.1004,9.0,415903.9,3871394.5,4278017108.927
Function inline pass (#7),611412929.4376143,4289.4,405791.0,42258809.5008,9.0,411093.3,3829853.9,4232980659.9625
RemoveUnusedPass (#10),611412929.4376143,4289.4,405791.0,42258809.5008,9.0,411093.3,3829853.9,4232980659.9625
Arithmetic pass (#8),611412929.4376143,4289.4,405791.0,42258809.5008,9.0,411093.3,3829853.9,4232980659.9625
Add SimplifyCFGPass (#9),611412921.9519,4281.5,405782.3,42258800.8008,8.0,411084.6,3829845.2,4232980651.2625
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,611412921.9519,4281.5,405782.3,42258800.8008,8.0,411084.6,3829845.2,4232980651.2625
Support compiler options (#17),611412921.9519,4281.5,405782.3,42258800.8008,8.0,411084.6,3829845.2,4232980651.2625
Fix wrong return value (#35),611412921.9519,4281.5,405782.3,42258800.8008,8.0,411084.6,3829845.2,4232980651.2625
Fix RemoveUnusedPass bug (#31),611412921.9519,4281.5,405782.3,42258800.8008,8.0,411084.6,3829845.2,4232980651.2625
Function inline pass bug fix (#20),611412921.9519,4281.5,405782.3,42258800.8008,8.0,411084.6,3829845.2,4232980651.2625
Automate testing benchmarks (#23),611412921.9519,4281.5,405782.3,42258800.8008,8.0,411084.6,3829845.2,4232980651.2625
Add GVNPass (#25),565898418.9887,4057.8,377677.0,39119810.9003,8.0,381889.9,3541729.9,3917863759.4206
Phierasepass (#27),565898418.9887,4057.8,377677.0,39119810.9003,8.0,381889.9,3541729.9,3917863759.4206
Add BranchPredictPass (#29),544224577.5464715,3871.8,362236.0,37615319.9,8.0,366448.9,3405388.9,3767818769.3253
Implement basic LoopVectorizePass (#32),544224577.5464715,3871.8,362236.0,37615319.9,8.0,366448.9,3405388.9,3767818769.3253
Update skeleton code (6/1),544224577.5464715,3871.8,362236.0,37615319.9,8.0,366448.9,3405388.9,3767818769.3253
Fix CI & compiler option (#42),544224577.5464715,3871.8,362236.0,37615319.9,8.0,366448.9,3405388.9,3767818769.3253
Fix PhierasePass Bug (#47),544224577.5464715,3871.8,362236.0,37615319.9,8.0,366448.9,3405388.9,3767818769.3253
Implement LoopUnrollPass (#49),537699275.8372571,3804.1,356414.1,37149940.1,8.0,360633.2,3360468.2,3722663663.1608
