commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),1163.9857142857143,40.3,40.3,1763.0,1295.8,828.6,1856.4,2323.5
Function inline pass (#7),1163.9857142857143,40.3,40.3,1763.0,1295.8,828.6,1856.4,2323.5
RemoveUnusedPass (#10),nan,nan,nan,nan,nan,nan,nan,nan
Arithmetic pass (#8),nan,nan,nan,nan,nan,nan,nan,nan
Add SimplifyCFGPass (#9),nan,nan,nan,nan,nan,nan,nan,nan
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,nan,nan,nan,nan,nan,nan,nan,nan
Support compiler options (#17),nan,nan,nan,nan,nan,nan,nan,nan
Fix wrong return value (#35),nan,nan,nan,nan,nan,nan,nan,nan
Fix RemoveUnusedPass bug (#31),1207.8285714285714,39.4,39.4,1830.5,1345.3,860.1,1927.5,2412.6
Function inline pass bug fix (#20),1207.8285714285714,39.4,39.4,1830.5,1345.3,860.1,1927.5,2412.6
Automate testing benchmarks (#23),1207.8285714285714,39.4,39.4,1830.5,1345.3,860.1,1927.5,2412.6
Add GVNPass (#25),1207.8285714285714,39.4,39.4,1830.5,1345.3,860.1,1927.5,2412.6
Phierasepass (#27),1163.0857142857144,39.4,39.4,1762.1,1294.9,827.7,1855.5,2322.6
Add BranchPredictPass (#29),1163.0857142857144,39.4,39.4,1762.1,1294.9,827.7,1855.5,2322.6
Implement basic LoopVectorizePass (#32),1163.0857142857144,39.4,39.4,1762.1,1294.9,827.7,1855.5,2322.6
Update skeleton code (6/1),1163.0857142857144,39.4,39.4,1762.1,1294.9,827.7,1855.5,2322.6
Fix CI & compiler option (#42),1163.0857142857144,39.4,39.4,1762.1,1294.9,827.7,1855.5,2322.6
Fix PhierasePass Bug (#47),1163.0857142857144,39.4,39.4,1762.1,1294.9,827.7,1855.5,2322.6
Implement LoopUnrollPass (#49),1163.0857142857144,39.4,39.4,1762.1,1294.9,827.7,1855.5,2322.6
Supplement LoopVectorizePass (#48),1163.0857142857144,39.4,39.4,1762.1,1294.9,827.7,1855.5,2322.6
Sccp pass (#45),1163.0857142857144,39.4,39.4,1762.1,1294.9,827.7,1855.5,2322.6
Add MemoryToStackPass (#51),1159.8857142857144,36.2,36.2,1758.9,1291.7,824.5,1852.3,2319.4
MatmulTransposePass (#52),1159.8857142857144,36.2,36.2,1758.9,1291.7,824.5,1852.3,2319.4
Implement ConstantMergePass (#60),1159.8857142857144,36.2,36.2,1758.9,1291.7,824.5,1852.3,2319.4
FunctionInlinePass Function Attribute 미확인 (#58),1159.8857142857144,36.2,36.2,1758.9,1291.7,824.5,1852.3,2319.4
Return correct PreservedAnalysis (#59),1159.8857142857144,36.2,36.2,1758.9,1291.7,824.5,1852.3,2319.4
Refactor and add comments (#62),1159.8857142857144,36.2,36.2,1758.9,1291.7,824.5,1852.3,2319.4
Fix filecheck details (#61),1159.8857142857144,36.2,36.2,1758.9,1291.7,824.5,1852.3,2319.4
More CFG (#63),1136.6142857142856,35.3,35.3,1723.8,1265.6,807.4,1815.4,2273.5
