commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt
Add CI for build and filechecks (#3),371924.12,1389.3,155313.3,1126459.5,53830.1,522628.4
Function inline pass (#7),357111.57999999996,1331.0,147823.4,1061642.3,53603.0,521158.2
Function inline pass bug fix (#20),357111.57999999996,1331.0,147823.4,1061642.3,53603.0,521158.2
FunctionInlinePass Function Attribute 미확인 (#58),357111.57999999996,1331.0,147823.4,1061642.3,53603.0,521158.2
RemoveUnusedPass (#10),357111.57999999996,1331.0,147823.4,1061642.3,53603.0,521158.2
Fix RemoveUnusedPass bug (#31),357111.57999999996,1331.0,147823.4,1061642.3,53603.0,521158.2
Arithmetic pass (#8),357111.57999999996,1331.0,147823.4,1061642.3,53603.0,521158.2
Fix wrong return value (#35),357111.57999999996,1331.0,147823.4,1061642.3,53603.0,521158.2
Add SimplifyCFGPass (#9),354386.88,1323.6,147410.0,1057516.4,52777.1,512907.3
Support compiler options (#17),354386.88,1323.6,147410.0,1057516.4,52777.1,512907.3
Automate testing benchmarks (#23),354386.88,1323.6,147410.0,1057516.4,52777.1,512907.3
Phierasepass (#27),354386.88,1323.6,147410.0,1057516.4,52777.1,512907.3
Fix PhierasePass Bug (#47),354386.88,1323.6,147410.0,1057516.4,52777.1,512907.3
Add GVNPass (#25),354386.88,1323.6,147410.0,1057516.4,52777.1,512907.3
Add BranchPredictPass (#29),338706.48000000004,1293.6,142928.0,1017268.4,49699.1,482343.3
Implement basic LoopVectorizePass (#32),338706.48000000004,1293.6,142928.0,1017268.4,49699.1,482343.3
Fix CI & compiler option (#42),338706.48000000004,1293.6,142928.0,1017268.4,49699.1,482343.3
Implement LoopUnrollPass (#49),340861.26,1312.2,143531.3,1022917.2,50118.3,486427.3
Supplement LoopVectorizePass (#48),340861.26,1312.2,143531.3,1022917.2,50118.3,486427.3
Refactor and add comments (#62),340861.26,1312.2,143531.3,1022917.2,50118.3,486427.3
MatmulTransposePass (#52),340861.26,1312.2,143531.3,1022917.2,50118.3,486427.3
Implement ConstantMergePass (#60),332155.48000000004,1291.5,142223.1,1009729.7,47480.8,460052.3
Sccp pass (#45),332155.48000000004,1291.5,142223.1,1009729.7,47480.8,460052.3
Add MemoryToStackPass (#51),311236.68,1235.1,136236.7,956055.3,43366.4,419289.9
Return correct PreservedAnalysis (#59),311236.68,1235.1,136236.7,956055.3,43366.4,419289.9
Fix filecheck details (#61),311236.68,1235.1,136236.7,956055.3,43366.4,419289.9
