commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),118.71428571428571,22.0,39.0,76.0,336.0,113.0,57.0,188.0
Function inline pass (#7),118.71428571428571,22.0,39.0,76.0,336.0,113.0,57.0,188.0
Function inline pass bug fix (#20),118.71428571428571,22.0,39.0,76.0,336.0,113.0,57.0,188.0
FunctionInlinePass Function Attribute 미확인 (#58),118.71428571428571,22.0,39.0,76.0,336.0,113.0,57.0,188.0
RemoveUnusedPass (#10),118.71428571428571,22.0,39.0,76.0,336.0,113.0,57.0,188.0
Fix RemoveUnusedPass bug (#31),118.71428571428571,22.0,39.0,76.0,336.0,113.0,57.0,188.0
Arithmetic pass (#8),118.71428571428571,22.0,39.0,76.0,336.0,113.0,57.0,188.0
Fix wrong return value (#35),118.71428571428571,22.0,39.0,76.0,336.0,113.0,57.0,188.0
Add SimplifyCFGPass (#9),128.85714285714286,22.0,41.0,82.0,369.0,123.0,60.0,205.0
Support compiler options (#17),128.85714285714286,22.0,41.0,82.0,369.0,123.0,60.0,205.0
Automate testing benchmarks (#23),128.85714285714286,22.0,41.0,82.0,369.0,123.0,60.0,205.0
Phierasepass (#27),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
Fix PhierasePass Bug (#47),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
Add GVNPass (#25),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
Add BranchPredictPass (#29),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
Implement basic LoopVectorizePass (#32),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
Fix CI & compiler option (#42),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
Implement LoopUnrollPass (#49),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
Supplement LoopVectorizePass (#48),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
Refactor and add comments (#62),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
MatmulTransposePass (#52),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
Implement ConstantMergePass (#60),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
Sccp pass (#45),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
Add MemoryToStackPass (#51),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
Return correct PreservedAnalysis (#59),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
Fix filecheck details (#61),90.28571428571429,20.0,32.0,59.0,249.0,86.0,45.0,141.0
