commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt,input8.txt
Add CI for build and filechecks (#3),149981899.55345,11.0,3393.7,148069.3,8640699.7001,32585565.998,258027068.3549,867864822.3766,32585565.998
Function inline pass (#7),149923704.428475,11.0,3318.7,147238.3,8628204.7001,32555250.998,257906453.355,867593907.3767,32555250.998
RemoveUnusedPass (#10),149923704.428475,11.0,3318.7,147238.3,8628204.7001,32555250.998,257906453.355,867593907.3767,32555250.998
Arithmetic pass (#8),149923704.428475,11.0,3318.7,147238.3,8628204.7001,32555250.998,257906453.355,867593907.3767,32555250.998
Add SimplifyCFGPass (#9),149848287.80324998,10.0,3308.7,147108.3,8623454.7001,32538152.998,257776005.3551,867160109.3748,32538152.998
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,149848287.80324998,10.0,3308.7,147108.3,8623454.7001,32538152.998,257776005.3551,867160109.3748,32538152.998
Support compiler options (#17),149848287.80324998,10.0,3308.7,147108.3,8623454.7001,32538152.998,257776005.3551,867160109.3748,32538152.998
Fix wrong return value (#35),149848287.80324998,10.0,3308.7,147108.3,8623454.7001,32538152.998,257776005.3551,867160109.3748,32538152.998
Fix RemoveUnusedPass bug (#31),149848287.80324998,10.0,3308.7,147108.3,8623454.7001,32538152.998,257776005.3551,867160109.3748,32538152.998
Function inline pass bug fix (#20),149848287.80324998,10.0,3308.7,147108.3,8623454.7001,32538152.998,257776005.3551,867160109.3748,32538152.998
Automate testing benchmarks (#23),149848287.80324998,10.0,3308.7,147108.3,8623454.7001,32538152.998,257776005.3551,867160109.3748,32538152.998
Add GVNPass (#25),140047608.2585,10.0,3041.4,138246.9,8071160.1001,30432962.3986,240943439.822,810359043.0487,30432962.3986
Phierasepass (#27),140047608.2585,10.0,3041.4,138246.9,8071160.1001,30432962.3986,240943439.822,810359043.0487,30432962.3986
Add BranchPredictPass (#29),139655599.75800002,7.0,2909.4,135765.9,8022023.1001,30296102.3986,240208454.8222,808283433.0445,30296102.3986
Implement basic LoopVectorizePass (#32),139655599.75800002,7.0,2909.4,135765.9,8022023.1001,30296102.3986,240208454.8222,808283433.0445,30296102.3986
Update skeleton code (6/1),139655599.75800002,7.0,2909.4,135765.9,8022023.1001,30296102.3986,240208454.8222,808283433.0445,30296102.3986
Fix CI & compiler option (#42),139655599.75800002,7.0,2909.4,135765.9,8022023.1001,30296102.3986,240208454.8222,808283433.0445,30296102.3986
Fix PhierasePass Bug (#47),139655599.75800002,7.0,2909.4,135765.9,8022023.1001,30296102.3986,240208454.8222,808283433.0445,30296102.3986
Implement LoopUnrollPass (#49),139609837.0955,7.0,3235.6,135760.0,8013437.2001,30277996.5986,240106586.5222,808063677.2445,30277996.5986
Supplement LoopVectorizePass (#48),114628377.46648751,7.0,2819.1,113161.3,6604213.3,24920593.4996,197185358.4843,663280273.5484,24920593.4996
Sccp pass (#45),114628377.46648751,7.0,2819.1,113161.3,6604213.3,24920593.4996,197185358.4843,663280273.5484,24920593.4996
Add MemoryToStackPass (#51),114546230.6914875,9.0,2401.9,104872.1,6371860.1,24712467.6996,197185425.9843,663280341.0484,24712467.6996
MatmulTransposePass (#52),105514064.771225,9.0,2520.0,100346.4,5928675.4,22954165.1997,181719323.4904,610453313.48,22954165.1997
Implement ConstantMergePass (#60),105186984.071225,9.0,2520.0,95949.6,5858326.6,22789285.1997,181032323.4904,608928173.48,22789285.1997
FunctionInlinePass Function Attribute 미확인 (#58),105186984.071225,9.0,2520.0,95949.6,5858326.6,22789285.1997,181032323.4904,608928173.48,22789285.1997
Return correct PreservedAnalysis (#59),105186984.071225,9.0,2520.0,95949.6,5858326.6,22789285.1997,181032323.4904,608928173.48,22789285.1997
Refactor and add comments (#62),105186984.071225,9.0,2520.0,95949.6,5858326.6,22789285.1997,181032323.4904,608928173.48,22789285.1997
