commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt
Add CI for build and filechecks (#3),4009756.5666666664,6420.8,114894.6,1655507.1,114495.7,416284.2,21750937.0
Function inline pass (#7),3953920.683333333,6229.3,112558.7,1629024.3,112159.7,408787.4,21454764.7
RemoveUnusedPass (#10),3953920.683333333,6229.3,112558.7,1629024.3,112159.7,408787.4,21454764.7
Arithmetic pass (#8),3953920.683333333,6229.3,112558.7,1629024.3,112159.7,408787.4,21454764.7
Add SimplifyCFGPass (#9),3922492.1666666665,6153.3,111486.6,1615314.3,111122.5,405231.8,21285644.5
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,3922492.1666666665,6153.3,111486.6,1615314.3,111122.5,405231.8,21285644.5
Support compiler options (#17),3922492.1666666665,6153.3,111486.6,1615314.3,111122.5,405231.8,21285644.5
Fix wrong return value (#35),3922492.1666666665,6153.3,111486.6,1615314.3,111122.5,405231.8,21285644.5
Fix RemoveUnusedPass bug (#31),3922492.1666666665,6153.3,111486.6,1615314.3,111122.5,405231.8,21285644.5
Function inline pass bug fix (#20),3922492.1666666665,6153.3,111486.6,1615314.3,111122.5,405231.8,21285644.5
Automate testing benchmarks (#23),3922492.1666666665,6153.3,111486.6,1615314.3,111122.5,405231.8,21285644.5
Add GVNPass (#25),3748588.3166666664,5938.4,106958.4,1545119.2,106628.4,388189.8,20338695.7
Phierasepass (#27),3748588.3166666664,5938.4,106958.4,1545119.2,106628.4,388189.8,20338695.7
Add BranchPredictPass (#29),3642253.933333333,5850.4,104457.5,1503917.5,104121.2,378335.3,19756841.7
Implement basic LoopVectorizePass (#32),3642253.933333333,5850.4,104457.5,1503917.5,104121.2,378335.3,19756841.7
Update skeleton code (6/1),3642253.933333333,5850.4,104457.5,1503917.5,104121.2,378335.3,19756841.7
Fix CI & compiler option (#42),3642253.933333333,5850.4,104457.5,1503917.5,104121.2,378335.3,19756841.7
Fix PhierasePass Bug (#47),3642253.933333333,5850.4,104457.5,1503917.5,104121.2,378335.3,19756841.7
