commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),24399395.471399996,135.8,3430.2,785819.3,2660699.8,27888.3,3541913.3,163775881.5998
Function inline pass (#7),24228158.485585712,135.8,3247.7,776660.1,2631651.9,27529.3,3504505.9,162653378.6991
RemoveUnusedPass (#10),24228158.485585712,135.8,3247.7,776660.1,2631651.9,27529.3,3504505.9,162653378.6991
Arithmetic pass (#8),24228158.485585712,135.8,3247.7,776660.1,2631651.9,27529.3,3504505.9,162653378.6991
Add SimplifyCFGPass (#9),26361340.599342857,134.8,3351.6,810177.1,2768889.3,28005.2,3699356.9,177219469.2954
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,26365186.813628573,134.8,3352.7,810496.9,2769796.0,28015.4,3700497.5,177244014.3954
Support compiler options (#17),26365186.813628573,134.8,3352.7,810496.9,2769796.0,28015.4,3700497.5,177244014.3954
Fix wrong return value (#35),26365186.813628573,134.8,3352.7,810496.9,2769796.0,28015.4,3700497.5,177244014.3954
Fix RemoveUnusedPass bug (#31),26365186.813628573,134.8,3352.7,810496.9,2769796.0,28015.4,3700497.5,177244014.3954
Function inline pass bug fix (#20),26365186.813628573,134.8,3352.7,810496.9,2769796.0,28015.4,3700497.5,177244014.3954
Automate testing benchmarks (#23),26365186.813628573,134.8,3352.7,810496.9,2769796.0,28015.4,3700497.5,177244014.3954
Add GVNPass (#25),25222842.213985715,123.3,3257.6,749229.3,2575858.0,25660.6,3450808.5,169754958.1979
Phierasepass (#27),25222842.213985715,123.3,3257.6,749229.3,2575858.0,25660.6,3450808.5,169754958.1979
Add BranchPredictPass (#29),23783728.07147143,126.3,3131.6,718827.3,2463244.0,24808.6,3295396.5,159980562.2003
Implement basic LoopVectorizePass (#32),23783728.07147143,126.3,3131.6,718827.3,2463244.0,24808.6,3295396.5,159980562.2003
Update skeleton code (6/1),23783728.07147143,126.3,3131.6,718827.3,2463244.0,24808.6,3295396.5,159980562.2003
Fix CI & compiler option (#42),23783728.07147143,126.3,3131.6,718827.3,2463244.0,24808.6,3295396.5,159980562.2003
Fix PhierasePass Bug (#47),23783728.07147143,126.3,3131.6,718827.3,2463244.0,24808.6,3295396.5,159980562.2003
