commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt
Add CI for build and filechecks (#3),2919194.966666667,4468.9,79273.2,1220929.2,77561.8,286804.5,15846132.2
Function inline pass (#7),2815087.716666667,4311.3,76423.5,1177274.0,74763.2,276578.0,15281176.3
Function inline pass bug fix (#20),2815087.716666667,4311.3,76423.5,1177274.0,74763.2,276578.0,15281176.3
FunctionInlinePass Function Attribute 미확인 (#58),2815087.716666667,4311.3,76423.5,1177274.0,74763.2,276578.0,15281176.3
RemoveUnusedPass (#10),2815087.716666667,4311.3,76423.5,1177274.0,74763.2,276578.0,15281176.3
Fix RemoveUnusedPass bug (#31),2815087.716666667,4311.3,76423.5,1177274.0,74763.2,276578.0,15281176.3
Arithmetic pass (#8),2815087.716666667,4311.3,76423.5,1177274.0,74763.2,276578.0,15281176.3
Fix wrong return value (#35),2815087.716666667,4311.3,76423.5,1177274.0,74763.2,276578.0,15281176.3
Add SimplifyCFGPass (#9),2811441.25,4291.5,76231.7,1175372.2,74571.4,276006.2,15262174.5
Support compiler options (#17),2811441.25,4291.5,76231.7,1175372.2,74571.4,276006.2,15262174.5
Automate testing benchmarks (#23),2811441.25,4291.5,76231.7,1175372.2,74571.4,276006.2,15262174.5
Phierasepass (#27),2811441.25,4291.5,76231.7,1175372.2,74571.4,276006.2,15262174.5
Fix PhierasePass Bug (#47),2811441.25,4291.5,76231.7,1175372.2,74571.4,276006.2,15262174.5
Add GVNPass (#25),2708136.4333333336,4121.6,73258.4,1131535.8,71630.9,265585.6,14702686.3
Add BranchPredictPass (#29),2617866.4333333336,4007.6,71071.4,1094485.8,69461.9,257017.6,14211154.3
Implement basic LoopVectorizePass (#32),2617866.4333333336,4007.6,71071.4,1094485.8,69461.9,257017.6,14211154.3
Fix CI & compiler option (#42),2617866.4333333336,4007.6,71071.4,1094485.8,69461.9,257017.6,14211154.3
Implement LoopUnrollPass (#49),2518267.816666667,3947.1,69232.4,1055871.8,67652.7,248843.5,13664059.4
Supplement LoopVectorizePass (#48),2518267.816666667,3947.1,69232.4,1055871.8,67652.7,248843.5,13664059.4
Refactor and add comments (#62),2518267.816666667,3947.1,69232.4,1055871.8,67652.7,248843.5,13664059.4
MatmulTransposePass (#52),2518267.816666667,3947.1,69232.4,1055871.8,67652.7,248843.5,13664059.4
Implement ConstantMergePass (#60),2518267.816666667,3947.1,69232.4,1055871.8,67652.7,248843.5,13664059.4
Sccp pass (#45),2518267.816666667,3947.1,69232.4,1055871.8,67652.7,248843.5,13664059.4
Add MemoryToStackPass (#51),2327719.3833333333,3646.0,63929.3,975746.7,62445.6,229922.4,12630626.3
Return correct PreservedAnalysis (#59),2327719.3833333333,3646.0,63929.3,975746.7,62445.6,229922.4,12630626.3
Fix filecheck details (#61),2327719.3833333333,3646.0,63929.3,975746.7,62445.6,229922.4,12630626.3
