commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt
Add CI for build and filechecks (#3),5419543.950016667,9998.1,144660.6,1383063.0,309606.0,905291.5,29764644.5001
Function inline pass (#7),5378518.2165,9864.3,143443.1,1372432.7,307063.6,898247.5,29540058.099
RemoveUnusedPass (#10),nan,nan,nan,nan,nan,nan,nan
Arithmetic pass (#8),nan,nan,nan,nan,nan,nan,nan
Add SimplifyCFGPass (#9),nan,nan,nan,nan,nan,nan,nan
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,nan,nan,nan,nan,nan,nan,nan
Support compiler options (#17),nan,nan,nan,nan,nan,nan,nan
Fix wrong return value (#35),nan,nan,nan,nan,nan,nan,nan
Fix RemoveUnusedPass bug (#31),5401022.23315,9899.0,143988.4,1377444.4,308358.6,902044.3,29664398.6989
Function inline pass bug fix (#20),5401022.23315,9899.0,143988.4,1377444.4,308358.6,902044.3,29664398.6989
Automate testing benchmarks (#23),5401022.23315,9899.0,143988.4,1377444.4,308358.6,902044.3,29664398.6989
Add GVNPass (#25),5170962.883183333,9591.0,138105.2,1319069.9,295676.6,864088.3,28399246.2991
Phierasepass (#27),5170962.883183333,9591.0,138105.2,1319069.9,295676.6,864088.3,28399246.2991
Add BranchPredictPass (#29),5006405.383183333,9246.0,133440.2,1273904.9,286286.6,836698.3,27498856.2991
Implement basic LoopVectorizePass (#32),5006405.383183333,9246.0,133440.2,1273904.9,286286.6,836698.3,27498856.2991
Update skeleton code (6/1),5006405.383183333,9246.0,133440.2,1273904.9,286286.6,836698.3,27498856.2991
Fix CI & compiler option (#42),5006405.383183333,9246.0,133440.2,1273904.9,286286.6,836698.3,27498856.2991
Fix PhierasePass Bug (#47),5006405.383183333,9246.0,133440.2,1273904.9,286286.6,836698.3,27498856.2991
Implement LoopUnrollPass (#49),4997902.600016667,8459.1,131737.7,1270989.0,282637.7,832240.0,27461352.1001
Supplement LoopVectorizePass (#48),4997902.600016667,8459.1,131737.7,1270989.0,282637.7,832240.0,27461352.1001
Sccp pass (#45),4997826.033349999,8434.3,131686.4,1270941.0,282525.7,832126.7,27461242.1001
Add MemoryToStackPass (#51),4693129.483333333,7655.0,121319.3,1173802.0,260544.6,770290.3,25825165.7
MatmulTransposePass (#52),4693129.483333333,7655.0,121319.3,1173802.0,260544.6,770290.3,25825165.7
Implement ConstantMergePass (#60),4603543.583333333,7549.5,119054.2,1150393.0,255811.9,755691.4,25332761.5
FunctionInlinePass Function Attribute 미확인 (#58),4603510.0,7533.0,119029.2,1150368.0,255766.9,755646.4,25332716.5
Return correct PreservedAnalysis (#59),4603510.0,7533.0,119029.2,1150368.0,255766.9,755646.4,25332716.5
Refactor and add comments (#62),4603510.0,7533.0,119029.2,1150368.0,255766.9,755646.4,25332716.5
