commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),143702033.61428574,150.3,1504.0,2343.0,2886.2,1156166.6,5256162.1,999495023.1
Function inline pass (#7),143691729.27407143,140.3,1443.2,2253.1,2826.2,1150249.4,5250167.5,999435025.2185
RemoveUnusedPass (#10),143691729.27407143,140.3,1443.2,2253.1,2826.2,1150249.4,5250167.5,999435025.2185
Arithmetic pass (#8),143693440.60265714,141.3,1451.6,2266.0,2834.2,1151206.0,5251162.8,999445022.3186
Add SimplifyCFGPass (#9),143690286.97407144,138.3,1438.4,2247.3,2815.7,1150153.4,5249691.5,999425524.2185
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,143691999.30264285,140.3,1447.8,2261.2,2824.7,1151111.0,5250687.8,999435522.3185
Support compiler options (#17),143691999.30264285,140.3,1447.8,2261.2,2824.7,1151111.0,5250687.8,999435522.3185
Fix wrong return value (#35),143691999.30264285,140.3,1447.8,2261.2,2824.7,1151111.0,5250687.8,999435522.3185
Fix RemoveUnusedPass bug (#31),143690287.97407144,139.3,1439.4,2248.3,2816.7,1150154.4,5249692.5,999425525.2185
Function inline pass bug fix (#20),143690287.97407144,139.3,1439.4,2248.3,2816.7,1150154.4,5249692.5,999425525.2185
Automate testing benchmarks (#23),143690287.97407144,139.3,1439.4,2248.3,2816.7,1150154.4,5249692.5,999425525.2185
Add GVNPass (#25),143691999.30264285,140.3,1447.8,2261.2,2824.7,1151111.0,5250687.8,999435522.3185
Phierasepass (#27),139103060.35128573,139.3,1431.2,2232.3,2789.2,1118803.4,5089011.2,967507015.859
Add BranchPredictPass (#29),124605488.61952858,138.3,1356.8,2105.6,2619.4,1014501.7,4576029.9,866641668.6367
Implement basic LoopVectorizePass (#32),129194426.81694286,139.3,1373.4,2134.3,2654.7,1046804.4,4737706.5,898570175.1186
Update skeleton code (6/1),129196138.14551428,140.3,1381.8,2147.2,2662.7,1047761.0,4738701.8,898580172.2186
Fix CI & compiler option (#42),129196138.14551428,140.3,1381.8,2147.2,2662.7,1047761.0,4738701.8,898580172.2186
Fix PhierasePass Bug (#47),129196138.14551428,140.3,1381.8,2147.2,2662.7,1047761.0,4738701.8,898580172.2186
Implement LoopUnrollPass (#49),105231117.89999999,200.2,1867.0,2895.1,3201.0,952661.6,3963996.9,731693003.5
Supplement LoopVectorizePass (#48),105231117.89999999,200.2,1867.0,2895.1,3201.0,952661.6,3963996.9,731693003.5
Sccp pass (#45),105231117.89999999,200.2,1867.0,2895.1,3201.0,952661.6,3963996.9,731693003.5
Add MemoryToStackPass (#51),95534125.78571428,199.8,1796.6,2774.7,3006.6,876625.2,3609206.5,664245271.1
MatmulTransposePass (#52),95534125.78571428,199.8,1796.6,2774.7,3006.6,876625.2,3609206.5,664245271.1
Implement ConstantMergePass (#60),95529961.5,199.8,1796.6,2774.7,2984.6,876361.2,3607842.5,664217771.1
FunctionInlinePass Function Attribute 미확인 (#58),95529957.5,195.8,1792.6,2770.7,2980.6,876357.2,3607838.5,664217767.1
