commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),5287033.771314286,1182.8,10465.6,15356.1,14344.4,915747.3,1617009.9,34435130.2992
Function inline pass (#7),5149300.657028571,1127.1,10017.8,14699.5,13827.3,876442.5,1564877.3,33564113.099199995
Function inline pass bug fix (#20),5149300.657028571,1127.1,10017.8,14699.5,13827.3,876442.5,1564877.3,33564113.099199995
FunctionInlinePass Function Attribute 미확인 (#58),5149300.657028571,1127.1,10017.8,14699.5,13827.3,876442.5,1564877.3,33564113.099199995
RemoveUnusedPass (#10),5149300.657028571,1127.1,10017.8,14699.5,13827.3,876442.5,1564877.3,33564113.099199995
Fix RemoveUnusedPass bug (#31),5149300.657028571,1127.1,10017.8,14699.5,13827.3,876442.5,1564877.3,33564113.099199995
Arithmetic pass (#8),5149300.657028571,1127.1,10017.8,14699.5,13827.3,876442.5,1564877.3,33564113.099199995
Fix wrong return value (#35),5149300.657028571,1127.1,10017.8,14699.5,13827.3,876442.5,1564877.3,33564113.099199995
Add SimplifyCFGPass (#9),5102428.099914285,1122.7,9963.6,14617.1,13756.6,871133.7,1553727.9,33252675.0994
Support compiler options (#17),5102428.099914285,1122.7,9963.6,14617.1,13756.6,871133.7,1553727.9,33252675.0994
Automate testing benchmarks (#23),5102428.099914285,1122.7,9963.6,14617.1,13756.6,871133.7,1553727.9,33252675.0994
Phierasepass (#27),5102428.099914285,1122.7,9963.6,14617.1,13756.6,871133.7,1553727.9,33252675.0994
Fix PhierasePass Bug (#47),5102428.099914285,1122.7,9963.6,14617.1,13756.6,871133.7,1553727.9,33252675.0994
Add GVNPass (#25),5044543.3713,1081.0,9822.1,14436.2,13569.7,862618.6,1536993.4,32873282.5991
Add BranchPredictPass (#29),4869380.657014286,988.0,8832.1,12960.2,12543.7,774259.6,1445070.4,31831010.5991
Implement basic LoopVectorizePass (#32),4869380.657014286,988.0,8832.1,12960.2,12543.7,774259.6,1445070.4,31831010.5991
Fix CI & compiler option (#42),4869380.657014286,988.0,8832.1,12960.2,12543.7,774259.6,1445070.4,31831010.5991
Implement LoopUnrollPass (#49),4831038.928442857,944.6,8517.0,12491.1,12240.3,746394.3,1419440.5,31617244.6991
Supplement LoopVectorizePass (#48),4831038.928442857,944.6,8517.0,12491.1,12240.3,746394.3,1419440.5,31617244.6991
Refactor and add comments (#62),4831038.928442857,944.6,8517.0,12491.1,12240.3,746394.3,1419440.5,31617244.6991
MatmulTransposePass (#52),4831038.928442857,944.6,8517.0,12491.1,12240.3,746394.3,1419440.5,31617244.6991
Implement ConstantMergePass (#60),4825536.757014285,941.4,8485.0,12443.1,12208.3,743194.3,1416240.5,31585244.6991
Sccp pass (#45),4825536.757014285,941.4,8485.0,12443.1,12208.3,743194.3,1416240.5,31585244.6991
Add MemoryToStackPass (#51),4680137.157014285,943.2,8361.3,12242.5,11815.1,726993.3,1349370.3,30651234.3991
Return correct PreservedAnalysis (#59),4680137.157014285,943.2,8361.3,12242.5,11815.1,726993.3,1349370.3,30651234.3991
Fix filecheck details (#61),4680137.157014285,943.2,8361.3,12242.5,11815.1,726993.3,1349370.3,30651234.3991
