commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt
Add CI for build and filechecks (#3),2045718.8,311.1,2960.6,26127.2,18722.4,10180472.7
Function inline pass (#7),2036789.1200000003,296.9,2880.1,25134.5,18332.8,10137301.3
RemoveUnusedPass (#10),2033404.9,296.1,2877.1,25084.5,18224.9,10120541.9
Arithmetic pass (#8),2036644.1599999997,295.1,2865.9,25062.2,18313.5,10136684.1
Add SimplifyCFGPass (#9),1995169.3,292.0,2857.8,24808.4,17832.3,9930056.0
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,1994102.2400000002,291.1,2848.5,24784.3,17787.9,9924799.4
Support compiler options (#17),1993288.1400000001,290.1,2841.3,24730.5,17755.5,9920823.3
Fix wrong return value (#35),1993288.1400000001,290.1,2841.3,24730.5,17755.5,9920823.3
Automate testing benchmarks (#23),1995574.3,291.0,2842.2,24789.0,17833.2,9932116.1
Add GVNPass (#25),1986751.9,290.4,2843.4,24678.0,17564.8,9888382.9
Phierasepass (#27),1986754.56,290.4,2843.4,24678.4,17565.7,9888394.9
Add BranchPredictPass (#29),1878048.00002,292.4,2800.2,24193.4,16868.9,9346085.1001
Implement basic LoopVectorizePass (#32),1878094.60002,293.4,2813.6,24259.7,16877.6,9346228.7001
