commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt
Add CI for build and filechecks (#3),23346712.06056,4098.6,25073.3,139676.3,197758.1,116366954.0028
Function inline pass (#7),21881320.44268,3874.7,23586.6,131469.6,186849.6,109060821.7134
Function inline pass bug fix (#20),21881320.44268,3874.7,23586.6,131469.6,186849.6,109060821.7134
FunctionInlinePass Function Attribute 미확인 (#58),21669354.563100003,3840.2,23298.7,129665.8,183407.8,108006560.3155
RemoveUnusedPass (#10),21357936.32302,3840.2,23298.7,129414.5,178986.9,106454141.3151
Fix RemoveUnusedPass bug (#31),21669354.563100003,3840.2,23298.7,129665.8,183407.8,108006560.3155
Arithmetic pass (#8),21669354.563100003,3840.2,23298.7,129665.8,183407.8,108006560.3155
Fix wrong return value (#35),21669354.563100003,3840.2,23298.7,129665.8,183407.8,108006560.3155
Add SimplifyCFGPass (#9),21444011.24256,3819.0,23173.7,128966.6,181647.2,106882449.7128
Support compiler options (#17),21444011.24256,3819.0,23173.7,128966.6,181647.2,106882449.7128
Automate testing benchmarks (#23),21444011.24256,3819.0,23173.7,128966.6,181647.2,106882449.7128
Phierasepass (#27),21444011.24256,3819.0,23173.7,128966.6,181647.2,106882449.7128
Fix PhierasePass Bug (#47),21444011.24256,3819.0,23173.7,128966.6,181647.2,106882449.7128
Add GVNPass (#25),20586020.14268,3761.2,22934.6,127643.2,174783.4,102600978.3134
Add BranchPredictPass (#29),20114463.86216,3377.2,20781.5,115798.6,169954.1,100262407.9108
Implement basic LoopVectorizePass (#32),20114463.86216,3377.2,20781.5,115798.6,169954.1,100262407.9108
Fix CI & compiler option (#42),20114463.86216,3377.2,20781.5,115798.6,169954.1,100262407.9108
Implement LoopUnrollPass (#49),20075306.022,3264.6,20114.6,112069.9,169349.3,100071731.71
Supplement LoopVectorizePass (#48),20075306.022,3264.6,20114.6,112069.9,169349.3,100071731.71
Refactor and add comments (#62),20075306.022,3264.6,20114.6,112069.9,169349.3,100071731.71
MatmulTransposePass (#52),20075306.022,3264.6,20114.6,112069.9,169349.3,100071731.71
Implement ConstantMergePass (#60),20075042.342,3251.8,20044.2,111679.5,169278.9,100070957.31
Sccp pass (#45),20075042.342,3251.8,20044.2,111679.5,169278.9,100070957.31
Add MemoryToStackPass (#51),19854063.722,3241.0,19857.9,110437.6,162658.2,98974123.91
Return correct PreservedAnalysis (#59),19854063.722,3241.0,19857.9,110437.6,162658.2,98974123.91
Fix filecheck details (#61),19854063.722,3241.0,19857.9,110437.6,162658.2,98974123.91
