commit,sum,anagram,binary_tree,bitcount1,bitcount2,bitcount3,bitcount4,bitcount5,bubble_sort,collatz,floyd,gcd,jenkins_hash,matmul1,matmul2,matmul3,matmul4,merge_sort,prime,quick_sort,radix_sort,rmq1d_naive,rmq1d_sparsetable,rmq2d_naive,rmq2d_sparsetable
Add CI for build and filechecks (#3),163.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,6.0,6.0,7.0,7.0,5.0,5.0
Function inline pass (#7),165.90437328797145,6.168232927085178,6.976406175400378,7.303885343820987,7.0,7.3312081152675415,7.001878158418641,7.0,7.066528729227995,7.0,5.187392462456257,7.0,8.06341838858826,8.230657086627577,8.124417458070496,8.022394526253638,8.174132231243874,6.122698273393659,7.089503254080528,6.234692357186791,6.0566171279549685,7.072883238888625,7.25222066027737,5.1377861957756465,5.287420577953012
Function inline pass bug fix (#20),165.90437328797145,6.168232927085178,6.976406175400378,7.303885343820987,7.0,7.3312081152675415,7.001878158418641,7.0,7.066528729227995,7.0,5.187392462456257,7.0,8.06341838858826,8.230657086627577,8.124417458070496,8.022394526253638,8.174132231243874,6.122698273393659,7.089503254080528,6.234692357186791,6.0566171279549685,7.072883238888625,7.25222066027737,5.1377861957756465,5.287420577953012
FunctionInlinePass Function Attribute 미확인 (#58),165.8933046508409,6.168232927085178,6.976406175400378,7.303885343820987,7.0,7.3312081152675415,7.001878158418641,7.0,7.066528729227995,7.0,5.187392462456257,7.0,8.06341838858826,8.230657086627577,8.124417458070496,8.022394526253638,8.103280754081144,6.122698273393659,7.089503254080528,6.234692357186791,6.0566171279549685,7.072883238888625,7.25222066027737,5.1377861957756465,5.347203417985183
RemoveUnusedPass (#10),nan,6.168232927085178,nan,7.303885343820987,7.0,7.3312081152675415,7.001878158418641,7.0,7.066528729227995,nan,5.187392462456257,7.0,8.06341838858826,8.230657086627577,8.124417458070496,8.022394526253638,nan,6.122698273393659,7.089503254080528,6.234692357186791,nan,7.072883238888625,7.25222066027737,5.1377861957756465,5.39298903536526
Fix RemoveUnusedPass bug (#31),165.8933046508409,6.168232927085178,6.976406175400378,7.303885343820987,7.0,7.3312081152675415,7.001878158418641,7.0,7.066528729227995,7.0,5.187392462456257,7.0,8.06341838858826,8.230657086627577,8.124417458070496,8.022394526253638,8.103280754081144,6.122698273393659,7.089503254080528,6.234692357186791,6.0566171279549685,7.072883238888625,7.25222066027737,5.1377861957756465,5.347203417985183
Arithmetic pass (#8),170.03929655005442,6.168232927085178,6.976406175400378,8.871667088425713,8.50509787038968,7.3312081152675415,7.297272601286121,7.226377513874741,7.066528729227995,7.0,5.187392462456257,7.0,8.614758716065175,8.230657086627577,8.124417458070496,8.022394526253638,8.103280754081144,6.122698273393659,7.089503254080528,6.234692357186791,6.0566171279549685,7.072883238888625,7.25222066027737,5.1377861957756465,5.347203417985183
Fix wrong return value (#35),170.03929655005442,6.168232927085178,6.976406175400378,8.871667088425713,8.50509787038968,7.3312081152675415,7.297272601286121,7.226377513874741,7.066528729227995,7.0,5.187392462456257,7.0,8.614758716065175,8.230657086627577,8.124417458070496,8.022394526253638,8.103280754081144,6.122698273393659,7.089503254080528,6.234692357186791,6.0566171279549685,7.072883238888625,7.25222066027737,5.1377861957756465,5.347203417985183
Add SimplifyCFGPass (#9),168.8487326267028,5.800433487364508,6.9308779859487055,8.871667088425713,8.147463957299578,7.3312081152675415,7.441254016075018,7.226377513874741,7.081972691563436,6.906312663623065,5.239920337334539,6.474512462647696,8.615304056909121,8.234089294796732,8.127825239772863,8.04461141243687,8.130660122699268,6.210304074236443,6.7742810794776664,6.249072822520949,6.033800543332056,7.083149811610382,7.296158992448815,5.213254136442122,5.384220720594959
Support compiler options (#17),168.8487326267028,5.800433487364508,6.9308779859487055,8.871667088425713,8.147463957299578,7.3312081152675415,7.441254016075018,7.226377513874741,7.081972691563436,6.906312663623065,5.239920337334539,6.474512462647696,8.615304056909121,8.234089294796732,8.127825239772863,8.04461141243687,8.130660122699268,6.210304074236443,6.7742810794776664,6.249072822520949,6.033800543332056,7.083149811610382,7.296158992448815,5.213254136442122,5.384220720594959
Automate testing benchmarks (#23),168.8487326267028,5.800433487364508,6.9308779859487055,8.871667088425713,8.147463957299578,7.3312081152675415,7.441254016075018,7.226377513874741,7.081972691563436,6.906312663623065,5.239920337334539,6.474512462647696,8.615304056909121,8.234089294796732,8.127825239772863,8.04461141243687,8.130660122699268,6.210304074236443,6.7742810794776664,6.249072822520949,6.033800543332056,7.083149811610382,7.296158992448815,5.213254136442122,5.384220720594959
