commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt
Add CI for build and filechecks (#3),6.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),6.168232927085178,1.0307313927021526,1.0305862069353442,1.0258908277817904,1.025871923820179,1.0259076291463975,1.0292449466993148
Function inline pass bug fix (#20),6.168232927085178,1.0307313927021526,1.0305862069353442,1.0258908277817904,1.025871923820179,1.0259076291463975,1.0292449466993148
FunctionInlinePass Function Attribute 미확인 (#58),6.168232927085178,1.0307313927021526,1.0305862069353442,1.0258908277817904,1.025871923820179,1.0259076291463975,1.0292449466993148
RemoveUnusedPass (#10),6.168232927085178,1.0307313927021526,1.0305862069353442,1.0258908277817904,1.025871923820179,1.0259076291463975,1.0292449466993148
Fix RemoveUnusedPass bug (#31),6.168232927085178,1.0307313927021526,1.0305862069353442,1.0258908277817904,1.025871923820179,1.0259076291463975,1.0292449466993148
Arithmetic pass (#8),6.168232927085178,1.0307313927021526,1.0305862069353442,1.0258908277817904,1.025871923820179,1.0259076291463975,1.0292449466993148
Fix wrong return value (#35),6.168232927085178,1.0307313927021526,1.0305862069353442,1.0258908277817904,1.025871923820179,1.0259076291463975,1.0292449466993148
Add SimplifyCFGPass (#9),5.800433487364508,0.9829640147485902,0.9830751720223545,0.9602030976131782,0.9602350090873749,0.9593384937387015,0.9546177001543086
Support compiler options (#17),5.800433487364508,0.9829640147485902,0.9830751720223545,0.9602030976131782,0.9602350090873749,0.9593384937387015,0.9546177001543086
Automate testing benchmarks (#23),5.800433487364508,0.9829640147485902,0.9830751720223545,0.9602030976131782,0.9602350090873749,0.9593384937387015,0.9546177001543086
Phierasepass (#27),5.800433327020458,0.9829678411305246,0.9830711268427252,0.9602031506366749,0.9602349554718641,0.9593385467600664,0.9546177061786025
Fix PhierasePass Bug (#47),5.800433327020458,0.9829678411305246,0.9830711268427252,0.9602031506366749,0.9602349554718641,0.9593385467600664,0.9546177061786025
Add GVNPass (#25),6.082846311378222,1.0197636055282255,1.0196933451445274,1.0107408025449867,1.0107380307485305,1.0098741666984958,1.0120363607134557
Add BranchPredictPass (#29),6.573911098323067,1.0840753982465465,1.0836830956830885,1.0984645260569332,1.098401596803518,1.097594363098331,1.1116921184346502
Implement basic LoopVectorizePass (#32),6.573911098323067,1.0840753982465465,1.0836830956830885,1.0984645260569332,1.098401596803518,1.097594363098331,1.1116921184346502
Fix CI & compiler option (#42),6.573911098323067,1.0840753982465465,1.0836830956830885,1.0984645260569332,1.098401596803518,1.097594363098331,1.1116921184346502
Implement LoopUnrollPass (#49),6.57961659901113,1.0340319056820337,1.0338868239865744,1.1237941875695847,1.1237108090109353,1.1229230061800228,1.141269866581979
Supplement LoopVectorizePass (#48),6.57961659901113,1.0340319056820337,1.0338868239865744,1.1237941875695847,1.1237108090109353,1.1229230061800228,1.141269866581979
Refactor and add comments (#62),6.57961659901113,1.0340319056820337,1.0338868239865744,1.1237941875695847,1.1237108090109353,1.1229230061800228,1.141269866581979
MatmulTransposePass (#52),6.57961659901113,1.0340319056820337,1.0338868239865744,1.1237941875695847,1.1237108090109353,1.1229230061800228,1.141269866581979
Implement ConstantMergePass (#60),7.02804873302975,1.0798918531774122,1.0795169237938402,1.2100934878332907,1.2099468225888805,1.2092188366034733,1.239380809032852
Sccp pass (#45),7.041845059777551,1.0866538373458816,1.0862327519664707,1.2101958699182882,1.2100489374692172,1.2093212145719894,1.2393924485057042
Add MemoryToStackPass (#51),7.412717264509565,1.131522957530681,1.1308860815545154,1.2782174018521777,1.2780252466772921,1.2773400115607632,1.316725565334135
Return correct PreservedAnalysis (#59),7.412717264509565,1.131522957530681,1.1308860815545154,1.2782174018521777,1.2780252466772921,1.2773400115607632,1.316725565334135
Fix filecheck details (#61),7.412717264509565,1.131522957530681,1.1308860815545154,1.2782174018521777,1.2780252466772921,1.2773400115607632,1.316725565334135
