commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),6.976406175400378,1.0083120889539683,1.0065863685117864,0.9896973128401084,0.9711242935156748,0.9391767325365414,1.0080815139211754,1.0534278651211226
Function inline pass bug fix (#20),6.976406175400378,1.0083120889539683,1.0065863685117864,0.9896973128401084,0.9711242935156748,0.9391767325365414,1.0080815139211754,1.0534278651211226
FunctionInlinePass Function Attribute 미확인 (#58),6.976406175400378,1.0083120889539683,1.0065863685117864,0.9896973128401084,0.9711242935156748,0.9391767325365414,1.0080815139211754,1.0534278651211226
RemoveUnusedPass (#10),nan,nan,nan,nan,nan,nan,nan,1.7664958451990653
Fix RemoveUnusedPass bug (#31),6.976406175400378,1.0083120889539683,1.0065863685117864,0.9896973128401084,0.9711242935156748,0.9391767325365414,1.0080815139211754,1.0534278651211226
Arithmetic pass (#8),6.976406175400378,1.0083120889539683,1.0065863685117864,0.9896973128401084,0.9711242935156748,0.9391767325365414,1.0080815139211754,1.0534278651211226
Fix wrong return value (#35),6.976406175400378,1.0083120889539683,1.0065863685117864,0.9896973128401084,0.9711242935156748,0.9391767325365414,1.0080815139211754,1.0534278651211226
Add SimplifyCFGPass (#9),6.9308779859487055,1.0067652636034115,1.0028532067235596,0.9813008498127423,0.9513503815890441,0.9002152144814879,1.0085305152190118,1.0798625545194485
Support compiler options (#17),6.9308779859487055,1.0067652636034115,1.0028532067235596,0.9813008498127423,0.9513503815890441,0.9002152144814879,1.0085305152190118,1.0798625545194485
Automate testing benchmarks (#23),6.9308779859487055,1.0067652636034115,1.0028532067235596,0.9813008498127423,0.9513503815890441,0.9002152144814879,1.0085305152190118,1.0798625545194485
Phierasepass (#27),6.996830083260137,1.0084376898493044,1.0056054096733067,0.9889062735067806,0.9687806295948853,0.9345697401283246,1.010667785988087,1.0798625545194485
Fix PhierasePass Bug (#47),6.996830083260137,1.0084376898493044,1.0056054096733067,0.9889062735067806,0.9687806295948853,0.9345697401283246,1.010667785988087,1.0798625545194485
Add GVNPass (#25),7.084809249765209,1.0159819882435002,1.0142352675686868,1.001243291457667,0.990287898663309,0.967750898164315,1.015447351148283,1.0798625545194485
Add BranchPredictPass (#29),7.32473908317598,1.0210956330166776,1.021206610926467,1.0311556322883324,1.0420654727954504,1.058958465256552,1.024889338180501,1.1253679307119986
Implement basic LoopVectorizePass (#32),7.563304505830317,1.0526808825460139,1.0669443344404206,1.0719311900085062,1.0879524180933409,1.1135205275230398,1.0449072225069975,1.1253679307119986
Fix CI & compiler option (#42),7.563304505830317,1.0526808825460139,1.0669443344404206,1.0719311900085062,1.0879524180933409,1.1135205275230398,1.0449072225069975,1.1253679307119986
Implement LoopUnrollPass (#49),7.465746156947507,1.0382126870282786,1.0571708884200732,1.0663003894994687,1.0842886981210413,1.1117003343301874,1.034362281509948,1.0737108780385094
Supplement LoopVectorizePass (#48),7.326053350619224,1.0224669898027448,1.031145431772983,1.0406280385332516,1.0562185323464806,1.0777145712073697,1.0241689089178856,1.0737108780385094
Refactor and add comments (#62),7.326053350619224,1.0224669898027448,1.031145431772983,1.0406280385332516,1.0562185323464806,1.0777145712073697,1.0241689089178856,1.0737108780385094
MatmulTransposePass (#52),7.326053350619224,1.0224669898027448,1.031145431772983,1.0406280385332516,1.0562185323464806,1.0777145712073697,1.0241689089178856,1.0737108780385094
Implement ConstantMergePass (#60),7.464852617913724,1.0224669898027448,1.040978301163013,1.0529868084679208,1.0688114970165532,1.0886890007744014,1.0360631395679456,1.154856881121145
Sccp pass (#45),7.464852617913724,1.0224669898027448,1.040978301163013,1.0529868084679208,1.0688114970165532,1.0886890007744014,1.0360631395679456,1.154856881121145
Add MemoryToStackPass (#51),7.857968370049265,1.0635917598201892,1.0743243919056416,1.1172795915793363,1.1694687660155354,1.1961117339002598,1.0826661810956073,1.1545259457326942
Return correct PreservedAnalysis (#59),7.857968370049265,1.0635917598201892,1.0743243919056416,1.1172795915793363,1.1694687660155354,1.1961117339002598,1.0826661810956073,1.1545259457326942
Fix filecheck details (#61),7.857968370049265,1.0635917598201892,1.0743243919056416,1.1172795915793363,1.1694687660155354,1.1961117339002598,1.0826661810956073,1.1545259457326942
