commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),7.001878158418641,1.000264437034167,1.0002822179370046,1.0002732015265863,1.00026416051554,1.00026416051554,1.0002649904449017,1.0002649904449017
Function inline pass bug fix (#20),7.001878158418641,1.000264437034167,1.0002822179370046,1.0002732015265863,1.00026416051554,1.00026416051554,1.0002649904449017,1.0002649904449017
FunctionInlinePass Function Attribute 미확인 (#58),7.001878158418641,1.000264437034167,1.0002822179370046,1.0002732015265863,1.00026416051554,1.00026416051554,1.0002649904449017,1.0002649904449017
RemoveUnusedPass (#10),7.001878158418641,1.000264437034167,1.0002822179370046,1.0002732015265863,1.00026416051554,1.00026416051554,1.0002649904449017,1.0002649904449017
Fix RemoveUnusedPass bug (#31),7.001878158418641,1.000264437034167,1.0002822179370046,1.0002732015265863,1.00026416051554,1.00026416051554,1.0002649904449017,1.0002649904449017
Arithmetic pass (#8),7.297272601286121,1.0424485830466,1.0424896990108032,1.042449619466347,1.0424034651820637,1.0424034651820637,1.0425388846991215,1.0425388846991215
Fix wrong return value (#35),7.297272601286121,1.0424485830466,1.0424896990108032,1.042449619466347,1.0424034651820637,1.0424034651820637,1.0425388846991215,1.0425388846991215
Add SimplifyCFGPass (#9),7.441254016075018,1.0630177273715697,1.0630336493724213,1.0629964920869865,1.062950210857455,1.062950210857455,1.0631528627645652,1.0631528627645652
Support compiler options (#17),7.441254016075018,1.0630177273715697,1.0630336493724213,1.0629964920869865,1.062950210857455,1.062950210857455,1.0631528627645652,1.0631528627645652
Automate testing benchmarks (#23),7.441254016075018,1.0630177273715697,1.0630336493724213,1.0629964920869865,1.062950210857455,1.062950210857455,1.0631528627645652,1.0631528627645652
Phierasepass (#27),7.441254016075018,1.0630177273715697,1.0630336493724213,1.0629964920869865,1.062950210857455,1.062950210857455,1.0631528627645652,1.0631528627645652
Fix PhierasePass Bug (#47),7.441254016075018,1.0630177273715697,1.0630336493724213,1.0629964920869865,1.062950210857455,1.062950210857455,1.0631528627645652,1.0631528627645652
Add GVNPass (#25),7.441254016075018,1.0630177273715697,1.0630336493724213,1.0629964920869865,1.062950210857455,1.062950210857455,1.0631528627645652,1.0631528627645652
Add BranchPredictPass (#29),7.946939648264427,1.135231557733858,1.1352879953297477,1.1351953287487158,1.1350825455747735,1.1350825455747735,1.1355298376512792,1.1355298376512792
Implement basic LoopVectorizePass (#32),7.946939648264427,1.135231557733858,1.1352879953297477,1.1351953287487158,1.1350825455747735,1.1350825455747735,1.1355298376512792,1.1355298376512792
Fix CI & compiler option (#42),7.946939648264427,1.135231557733858,1.1352879953297477,1.1351953287487158,1.1350825455747735,1.1350825455747735,1.1355298376512792,1.1355298376512792
Implement LoopUnrollPass (#49),9.590637388117191,1.3699516565873875,1.3701335539511128,1.3698492125089026,1.3695045748139059,1.3695045748139059,1.3708469077209875,1.3708469077209875
Supplement LoopVectorizePass (#48),9.590637388117191,1.3699516565873875,1.3701335539511128,1.3698492125089026,1.3695045748139059,1.3695045748139059,1.3708469077209875,1.3708469077209875
Refactor and add comments (#62),9.590637388117191,1.3699516565873875,1.3701335539511128,1.3698492125089026,1.3695045748139059,1.3695045748139059,1.3708469077209875,1.3708469077209875
MatmulTransposePass (#52),9.590637388117191,1.3699516565873875,1.3701335539511128,1.3698492125089026,1.3695045748139059,1.3695045748139059,1.3708469077209875,1.3708469077209875
Implement ConstantMergePass (#60),10.15206268819072,1.4501175768454901,1.4503551544058189,1.449993421907057,1.4495559818398522,1.4495559818398522,1.451242285676324,1.451242285676324
Sccp pass (#45),10.363423529298766,1.4803182373141777,1.4804546329360913,1.4801609752125697,1.4796871314637023,1.4796871314637023,1.4815577104542612,1.4815577104542612
Add MemoryToStackPass (#51),10.363423529298766,1.4803182373141777,1.4804546329360913,1.4801609752125697,1.4796871314637023,1.4796871314637023,1.4815577104542612,1.4815577104542612
Return correct PreservedAnalysis (#59),10.363423529298766,1.4803182373141777,1.4804546329360913,1.4801609752125697,1.4796871314637023,1.4796871314637023,1.4815577104542612,1.4815577104542612
Fix filecheck details (#61),10.363423529298766,1.4803182373141777,1.4804546329360913,1.4801609752125697,1.4796871314637023,1.4796871314637023,1.4815577104542612,1.4815577104542612
