commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),7.066528729227995,1.008674469738434,1.0099444193908602,1.0122033598972084,1.0,1.0097922121224105,1.0106459129953305,1.0152683550837516
Function inline pass bug fix (#20),7.066528729227995,1.008674469738434,1.0099444193908602,1.0122033598972084,1.0,1.0097922121224105,1.0106459129953305,1.0152683550837516
FunctionInlinePass Function Attribute 미확인 (#58),7.066528729227995,1.008674469738434,1.0099444193908602,1.0122033598972084,1.0,1.0097922121224105,1.0106459129953305,1.0152683550837516
RemoveUnusedPass (#10),7.066528729227995,1.008674469738434,1.0099444193908602,1.0122033598972084,1.0,1.0097922121224105,1.0106459129953305,1.0152683550837516
Fix RemoveUnusedPass bug (#31),7.066528729227995,1.008674469738434,1.0099444193908602,1.0122033598972084,1.0,1.0097922121224105,1.0106459129953305,1.0152683550837516
Arithmetic pass (#8),7.066528729227995,1.008674469738434,1.0099444193908602,1.0122033598972084,1.0,1.0097922121224105,1.0106459129953305,1.0152683550837516
Fix wrong return value (#35),7.066528729227995,1.008674469738434,1.0099444193908602,1.0122033598972084,1.0,1.0097922121224105,1.0106459129953305,1.0152683550837516
Add SimplifyCFGPass (#9),7.081972691563436,1.007785558706733,1.009745103288355,1.0121764152530595,1.0168357986526593,1.0095952718317953,1.0105695956728786,1.0152649481579559
Support compiler options (#17),7.081972691563436,1.007785558706733,1.009745103288355,1.0121764152530595,1.0168357986526593,1.0095952718317953,1.0105695956728786,1.0152649481579559
Automate testing benchmarks (#23),7.081972691563436,1.007785558706733,1.009745103288355,1.0121764152530595,1.0168357986526593,1.0095952718317953,1.0105695956728786,1.0152649481579559
Phierasepass (#27),7.083775830167705,1.0090685939003912,1.0099525007699908,1.012203465383412,1.0168357986526593,1.0098001971602624,1.0106469178880328,1.0152683564129568
Fix PhierasePass Bug (#47),7.083775830167705,1.0090685939003912,1.0099525007699908,1.012203465383412,1.0168357986526593,1.0098001971602624,1.0106469178880328,1.0152683564129568
Add GVNPass (#25),7.515157731429769,1.0400224403286584,1.0707259956420836,1.1004828573196297,1.0168357986526593,1.0722193027091178,1.0879889557347548,1.126882381042865
Add BranchPredictPass (#29),7.750574247302049,1.0656537471089997,1.105843591725323,1.1453111049537072,1.0168357986526593,1.1069755471391922,1.126734127249827,1.1832203304723414
Implement basic LoopVectorizePass (#32),7.750574247302049,1.0656537471089997,1.105843591725323,1.1453111049537072,1.0168357986526593,1.1069755471391922,1.126734127249827,1.1832203304723414
Fix CI & compiler option (#42),7.750574247302049,1.0656537471089997,1.105843591725323,1.1453111049537072,1.0168357986526593,1.1069755471391922,1.126734127249827,1.1832203304723414
Implement LoopUnrollPass (#49),7.831663402773995,1.075937093407485,1.119076319222779,1.1594807241085932,1.0168357986526593,1.1200533482981454,1.139673139461799,1.2006069796225347
Supplement LoopVectorizePass (#48),7.831663402773995,1.075937093407485,1.119076319222779,1.1594807241085932,1.0168357986526593,1.1200533482981454,1.139673139461799,1.2006069796225347
Refactor and add comments (#62),7.831663402773995,1.075937093407485,1.119076319222779,1.1594807241085932,1.0168357986526593,1.1200533482981454,1.139673139461799,1.2006069796225347
MatmulTransposePass (#52),7.831663402773995,1.075937093407485,1.119076319222779,1.1594807241085932,1.0168357986526593,1.1200533482981454,1.139673139461799,1.2006069796225347
Implement ConstantMergePass (#60),7.851112851994169,1.0888272446879252,1.1216736770304405,1.1598330647364374,1.0168357986526593,1.1226228114686485,1.14066890135344,1.2006513540646182
Sccp pass (#45),7.851112851994169,1.0888272446879252,1.1216736770304405,1.1598330647364374,1.0168357986526593,1.1226228114686485,1.14066890135344,1.2006513540646182
Add MemoryToStackPass (#51),8.320835588850528,1.1423374235118664,1.1949457394580643,1.2562279080862206,0.9849398649162819,1.1959058469953863,1.2245621033925864,1.321916702490121
Return correct PreservedAnalysis (#59),8.320835588850528,1.1423374235118664,1.1949457394580643,1.2562279080862206,0.9849398649162819,1.1959058469953863,1.2245621033925864,1.321916702490121
Fix filecheck details (#61),8.320835588850528,1.1423374235118664,1.1949457394580643,1.2562279080862206,0.9849398649162819,1.1959058469953863,1.2245621033925864,1.321916702490121
