commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass bug fix (#20),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FunctionInlinePass Function Attribute 미확인 (#58),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RemoveUnusedPass (#10),nan,nan,nan,nan,nan,nan,nan,nan
Fix RemoveUnusedPass bug (#31),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Arithmetic pass (#8),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fix wrong return value (#35),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Add SimplifyCFGPass (#9),6.906312663623065,1.015500965400012,1.015500965400012,0.9744541278135898,0.9756786287033248,0.977541077703616,0.9742519686552711,0.9733849299472386
Support compiler options (#17),6.906312663623065,1.015500965400012,1.015500965400012,0.9744541278135898,0.9756786287033248,0.977541077703616,0.9742519686552711,0.9733849299472386
Automate testing benchmarks (#23),6.906312663623065,1.015500965400012,1.015500965400012,0.9744541278135898,0.9756786287033248,0.977541077703616,0.9742519686552711,0.9733849299472386
Phierasepass (#27),7.336426309154111,1.0313601360992635,1.0313601360992635,1.0554408248864382,1.0537949950444803,1.051709422655944,1.0557313230032082,1.0570294713655137
Fix PhierasePass Bug (#47),7.336426309154111,1.0313601360992635,1.0313601360992635,1.0554408248864382,1.0537949950444803,1.051709422655944,1.0557313230032082,1.0570294713655137
Add GVNPass (#25),7.336426309154111,1.0313601360992635,1.0313601360992635,1.0554408248864382,1.0537949950444803,1.051709422655944,1.0557313230032082,1.0570294713655137
Add BranchPredictPass (#29),7.336426309154111,1.0313601360992635,1.0313601360992635,1.0554408248864382,1.0537949950444803,1.051709422655944,1.0557313230032082,1.0570294713655137
Implement basic LoopVectorizePass (#32),7.336426309154111,1.0313601360992635,1.0313601360992635,1.0554408248864382,1.0537949950444803,1.051709422655944,1.0557313230032082,1.0570294713655137
Fix CI & compiler option (#42),7.336426309154111,1.0313601360992635,1.0313601360992635,1.0554408248864382,1.0537949950444803,1.051709422655944,1.0557313230032082,1.0570294713655137
Implement LoopUnrollPass (#49),7.336426309154111,1.0313601360992635,1.0313601360992635,1.0554408248864382,1.0537949950444803,1.051709422655944,1.0557313230032082,1.0570294713655137
Supplement LoopVectorizePass (#48),7.336426309154111,1.0313601360992635,1.0313601360992635,1.0554408248864382,1.0537949950444803,1.051709422655944,1.0557313230032082,1.0570294713655137
Refactor and add comments (#62),7.336426309154111,1.0313601360992635,1.0313601360992635,1.0554408248864382,1.0537949950444803,1.051709422655944,1.0557313230032082,1.0570294713655137
MatmulTransposePass (#52),7.336426309154111,1.0313601360992635,1.0313601360992635,1.0554408248864382,1.0537949950444803,1.051709422655944,1.0557313230032082,1.0570294713655137
Implement ConstantMergePass (#60),7.336426309154111,1.0313601360992635,1.0313601360992635,1.0554408248864382,1.0537949950444803,1.051709422655944,1.0557313230032082,1.0570294713655137
Sccp pass (#45),7.336426309154111,1.0313601360992635,1.0313601360992635,1.0554408248864382,1.0537949950444803,1.051709422655944,1.0557313230032082,1.0570294713655137
Add MemoryToStackPass (#51),7.470933472834416,1.090915668665326,1.090915668665326,1.0580214563111596,1.0571644047418,1.0566588705982345,1.058198736015717,1.0590586678368528
Return correct PreservedAnalysis (#59),7.470933472834416,1.090915668665326,1.090915668665326,1.0580214563111596,1.0571644047418,1.0566588705982345,1.058198736015717,1.0590586678368528
Fix filecheck details (#61),7.470933472834416,1.090915668665326,1.090915668665326,1.0580214563111596,1.0571644047418,1.0566588705982345,1.058198736015717,1.0590586678368528
