commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt
Add CI for build and filechecks (#3),5.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),5.187392462456257,1.0321188864786737,1.0611674550221746,1.0854976851724771,1.0047682713211008,1.003840164461831
Function inline pass bug fix (#20),5.187392462456257,1.0321188864786737,1.0611674550221746,1.0854976851724771,1.0047682713211008,1.003840164461831
FunctionInlinePass Function Attribute 미확인 (#58),5.187392462456257,1.0321188864786737,1.0611674550221746,1.0854976851724771,1.0047682713211008,1.003840164461831
RemoveUnusedPass (#10),5.187392462456257,1.0321188864786737,1.0611674550221746,1.0854976851724771,1.0047682713211008,1.003840164461831
Fix RemoveUnusedPass bug (#31),5.187392462456257,1.0321188864786737,1.0611674550221746,1.0854976851724771,1.0047682713211008,1.003840164461831
Arithmetic pass (#8),5.187392462456257,1.0321188864786737,1.0611674550221746,1.0854976851724771,1.0047682713211008,1.003840164461831
Fix wrong return value (#35),5.187392462456257,1.0321188864786737,1.0611674550221746,1.0854976851724771,1.0047682713211008,1.003840164461831
Add SimplifyCFGPass (#9),5.239920337334539,1.0362959971026113,1.064633225343837,1.0911154078945557,1.022281131631531,1.0255945753620028
Support compiler options (#17),5.239920337334539,1.0362959971026113,1.064633225343837,1.0911154078945557,1.022281131631531,1.0255945753620028
Automate testing benchmarks (#23),5.239920337334539,1.0362959971026113,1.064633225343837,1.0911154078945557,1.022281131631531,1.0255945753620028
Phierasepass (#27),5.239920337334539,1.0362959971026113,1.064633225343837,1.0911154078945557,1.022281131631531,1.0255945753620028
Fix PhierasePass Bug (#47),5.239920337334539,1.0362959971026113,1.064633225343837,1.0911154078945557,1.022281131631531,1.0255945753620028
Add GVNPass (#25),5.239920337334539,1.0362959971026113,1.064633225343837,1.0911154078945557,1.022281131631531,1.0255945753620028
Add BranchPredictPass (#29),5.502814581637901,1.053472928751228,1.1028449802629814,1.147095069158631,1.0900542615984599,1.1093473418666016
Implement basic LoopVectorizePass (#32),5.502814581637901,1.053472928751228,1.1028449802629814,1.147095069158631,1.0900542615984599,1.1093473418666016
Fix CI & compiler option (#42),5.502814581637901,1.053472928751228,1.1028449802629814,1.147095069158631,1.0900542615984599,1.1093473418666016
Implement LoopUnrollPass (#49),5.457950106719856,1.0427769270636194,1.0976322464133963,1.13910607387119,1.0805810146264605,1.0978538447451895
Supplement LoopVectorizePass (#48),5.457950106719856,1.0427769270636194,1.0976322464133963,1.13910607387119,1.0805810146264605,1.0978538447451895
Refactor and add comments (#62),5.457950106719856,1.0427769270636194,1.0976322464133963,1.13910607387119,1.0805810146264605,1.0978538447451895
MatmulTransposePass (#52),5.457950106719856,1.0427769270636194,1.0976322464133963,1.13910607387119,1.0805810146264605,1.0978538447451895
Implement ConstantMergePass (#60),5.6368811905042,1.054690191312879,1.1089635209769928,1.1578263029482727,1.1415534714085065,1.1738477038575483
Sccp pass (#45),5.6368811905042,1.054690191312879,1.1089635209769928,1.1578263029482727,1.1415534714085065,1.1738477038575483
Add MemoryToStackPass (#51),6.031059699372519,1.088144879430829,1.162182269273275,1.2366294709052639,1.2437823140774396,1.3003207656857116
Return correct PreservedAnalysis (#59),6.031059699372519,1.088144879430829,1.162182269273275,1.2366294709052639,1.2437823140774396,1.3003207656857116
Fix filecheck details (#61),6.031059699372519,1.088144879430829,1.162182269273275,1.2366294709052639,1.2437823140774396,1.3003207656857116
