commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass bug fix (#20),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FunctionInlinePass Function Attribute 미확인 (#58),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RemoveUnusedPass (#10),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fix RemoveUnusedPass bug (#31),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Arithmetic pass (#8),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fix wrong return value (#35),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Add SimplifyCFGPass (#9),6.474512462647696,1.0,0.9545607466312849,0.9183865623698467,0.8648404167183639,0.9005816565110332,0.9485675730788939,0.8875755073382731
Support compiler options (#17),6.474512462647696,1.0,0.9545607466312849,0.9183865623698467,0.8648404167183639,0.9005816565110332,0.9485675730788939,0.8875755073382731
Automate testing benchmarks (#23),6.474512462647696,1.0,0.9545607466312849,0.9183865623698467,0.8648404167183639,0.9005816565110332,0.9485675730788939,0.8875755073382731
Phierasepass (#27),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
Fix PhierasePass Bug (#47),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
Add GVNPass (#25),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
Add BranchPredictPass (#29),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
Implement basic LoopVectorizePass (#32),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
Fix CI & compiler option (#42),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
Implement LoopUnrollPass (#49),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
Supplement LoopVectorizePass (#48),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
Refactor and add comments (#62),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
MatmulTransposePass (#52),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
Implement ConstantMergePass (#60),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
Sccp pass (#45),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
Add MemoryToStackPass (#51),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
Return correct PreservedAnalysis (#59),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
Fix filecheck details (#61),8.88783215081284,1.0730653442421239,1.1797436208440355,1.271947632387592,1.4323154907106792,1.3201219945696145,1.2370299801938416,1.373608087864955
