commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt,input8.txt
Add CI for build and filechecks (#3),8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),8.06341838858826,1.0,1.047860667854195,1.0092150587829745,1.0043914208384095,1.0012723284551814,1.0004683099835017,1.0001547176565069,1.0000558850174919
Function inline pass bug fix (#20),8.06341838858826,1.0,1.047860667854195,1.0092150587829745,1.0043914208384095,1.0012723284551814,1.0004683099835017,1.0001547176565069,1.0000558850174919
FunctionInlinePass Function Attribute 미확인 (#58),8.06341838858826,1.0,1.047860667854195,1.0092150587829745,1.0043914208384095,1.0012723284551814,1.0004683099835017,1.0001547176565069,1.0000558850174919
RemoveUnusedPass (#10),8.06341838858826,1.0,1.047860667854195,1.0092150587829745,1.0043914208384095,1.0012723284551814,1.0004683099835017,1.0001547176565069,1.0000558850174919
Fix RemoveUnusedPass bug (#31),8.06341838858826,1.0,1.047860667854195,1.0092150587829745,1.0043914208384095,1.0012723284551814,1.0004683099835017,1.0001547176565069,1.0000558850174919
Arithmetic pass (#8),8.614758716065175,1.0,1.1224368197986219,1.0729387869608795,1.0723441584773479,1.0764676686963859,1.0826317532863512,1.0903017059710944,1.0976378228744927
Fix wrong return value (#35),8.614758716065175,1.0,1.1224368197986219,1.0729387869608795,1.0723441584773479,1.0764676686963859,1.0826317532863512,1.0903017059710944,1.0976378228744927
Add SimplifyCFGPass (#9),8.615304056909121,1.0,1.1319528098880398,1.0732741349700772,1.071613773788207,1.074801279975078,1.0805907282006373,1.0879768381005102,1.095094491986572
Support compiler options (#17),8.615304056909121,1.0,1.1319528098880398,1.0732741349700772,1.071613773788207,1.074801279975078,1.0805907282006373,1.0879768381005102,1.095094491986572
Automate testing benchmarks (#23),8.615304056909121,1.0,1.1319528098880398,1.0732741349700772,1.071613773788207,1.074801279975078,1.0805907282006373,1.0879768381005102,1.095094491986572
Phierasepass (#27),8.615304056909121,1.0,1.1319528098880398,1.0732741349700772,1.071613773788207,1.074801279975078,1.0805907282006373,1.0879768381005102,1.095094491986572
Fix PhierasePass Bug (#47),8.615304056909121,1.0,1.1319528098880398,1.0732741349700772,1.071613773788207,1.074801279975078,1.0805907282006373,1.0879768381005102,1.095094491986572
Add GVNPass (#25),8.641360283296844,1.0,1.1337295237726632,1.0761538249673293,1.0749973844908618,1.0786913183403506,1.084880233891796,1.0926980168601346,1.100209980973709
Add BranchPredictPass (#29),9.118956983071772,1.0,1.1581740039367778,1.1296758477622122,1.1376027939541322,1.1513351467781625,1.1651211083503372,1.1810709092668354,1.1959771730233157
Implement basic LoopVectorizePass (#32),9.118956983071772,1.0,1.1581740039367778,1.1296758477622122,1.1376027939541322,1.1513351467781625,1.1651211083503372,1.1810709092668354,1.1959771730233157
Fix CI & compiler option (#42),9.118956983071772,1.0,1.1581740039367778,1.1296758477622122,1.1376027939541322,1.1513351467781625,1.1651211083503372,1.1810709092668354,1.1959771730233157
Implement LoopUnrollPass (#49),8.983334732501582,1.0,1.0294930094344878,1.096285965604568,1.1306851603655046,1.153491621095302,1.172918880107642,1.1921265692390124,1.208333526655064
Supplement LoopVectorizePass (#48),8.983334732501582,1.0,1.0294930094344878,1.096285965604568,1.1306851603655046,1.153491621095302,1.172918880107642,1.1921265692390124,1.208333526655064
Refactor and add comments (#62),8.983334732501582,1.0,1.0294930094344878,1.096285965604568,1.1306851603655046,1.153491621095302,1.172918880107642,1.1921265692390124,1.208333526655064
MatmulTransposePass (#52),8.983334732501582,1.0,1.0294930094344878,1.096285965604568,1.1306851603655046,1.153491621095302,1.172918880107642,1.1921265692390124,1.208333526655064
Implement ConstantMergePass (#60),9.36453549935446,1.0,1.0294930094344878,1.1316540519623255,1.1831382678129019,1.2146404605308923,1.242645027225628,1.2701086339920644,1.2928560483961604
Sccp pass (#45),9.36453549935446,1.0,1.0294930094344878,1.1316540519623255,1.1831382678129019,1.2146404605308923,1.242645027225628,1.2701086339920644,1.2928560483961604
Add MemoryToStackPass (#51),9.69971992742868,0.9614025211070645,1.0482534867978197,1.1718644814461543,1.232076448381142,1.2715837863938577,1.3059349948905514,1.3399897370264005,1.3686144713856905
Return correct PreservedAnalysis (#59),9.69971992742868,0.9614025211070645,1.0482534867978197,1.1718644814461543,1.232076448381142,1.2715837863938577,1.3059349948905514,1.3399897370264005,1.3686144713856905
Fix filecheck details (#61),9.69971992742868,0.9614025211070645,1.0482534867978197,1.1718644814461543,1.232076448381142,1.2715837863938577,1.3059349948905514,1.3399897370264005,1.3686144713856905
