commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt
Add CI for build and filechecks (#3),6.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),6.122698273393659,1.022601964396915,1.0203524356286773,1.019634744306176,1.020420101246301,1.0199974708534105,1.0196915569621794
Function inline pass bug fix (#20),6.122698273393659,1.022601964396915,1.0203524356286773,1.019634744306176,1.020420101246301,1.0199974708534105,1.0196915569621794
FunctionInlinePass Function Attribute 미확인 (#58),6.122698273393659,1.022601964396915,1.0203524356286773,1.019634744306176,1.020420101246301,1.0199974708534105,1.0196915569621794
RemoveUnusedPass (#10),6.122698273393659,1.022601964396915,1.0203524356286773,1.019634744306176,1.020420101246301,1.0199974708534105,1.0196915569621794
Fix RemoveUnusedPass bug (#31),6.122698273393659,1.022601964396915,1.0203524356286773,1.019634744306176,1.020420101246301,1.0199974708534105,1.0196915569621794
Arithmetic pass (#8),6.122698273393659,1.022601964396915,1.0203524356286773,1.019634744306176,1.020420101246301,1.0199974708534105,1.0196915569621794
Fix wrong return value (#35),6.122698273393659,1.022601964396915,1.0203524356286773,1.019634744306176,1.020420101246301,1.0199974708534105,1.0196915569621794
Add SimplifyCFGPass (#9),6.210304074236443,1.0345046889768323,1.0341158713833858,1.0354924688523612,1.0338347174858917,1.0345082435555437,1.0378480839824284
Support compiler options (#17),6.210304074236443,1.0345046889768323,1.0341158713833858,1.0354924688523612,1.0338347174858917,1.0345082435555437,1.0378480839824284
Automate testing benchmarks (#23),6.210304074236443,1.0345046889768323,1.0341158713833858,1.0354924688523612,1.0338347174858917,1.0345082435555437,1.0378480839824284
Phierasepass (#27),6.210304074236443,1.0345046889768323,1.0341158713833858,1.0354924688523612,1.0338347174858917,1.0345082435555437,1.0378480839824284
Fix PhierasePass Bug (#47),6.210304074236443,1.0345046889768323,1.0341158713833858,1.0354924688523612,1.0338347174858917,1.0345082435555437,1.0378480839824284
Add GVNPass (#25),6.426965630954217,1.055419170510063,1.066474364075127,1.0779289457520027,1.065975785546115,1.071725200212888,1.0894421648580206
Add BranchPredictPass (#29),6.587174776598922,1.066512269605739,1.0898046068767338,1.1106504003709992,1.089430956799749,1.0998715466514248,1.1309049962942765
Implement basic LoopVectorizePass (#32),6.587174776598922,1.066512269605739,1.0898046068767338,1.1106504003709992,1.089430956799749,1.0998715466514248,1.1309049962942765
Fix CI & compiler option (#42),6.587174776598922,1.066512269605739,1.0898046068767338,1.1106504003709992,1.089430956799749,1.0998715466514248,1.1309049962942765
Implement LoopUnrollPass (#49),6.278116554735326,0.9861156141845662,1.0313448858574672,1.0720871742994342,1.0304361864780842,1.052186604476247,1.1059460894395272
Supplement LoopVectorizePass (#48),6.278116554735326,0.9861156141845662,1.0313448858574672,1.0720871742994342,1.0304361864780842,1.052186604476247,1.1059460894395272
Refactor and add comments (#62),6.278116554735326,0.9861156141845662,1.0313448858574672,1.0720871742994342,1.0304361864780842,1.052186604476247,1.1059460894395272
MatmulTransposePass (#52),6.278116554735326,0.9861156141845662,1.0313448858574672,1.0720871742994342,1.0304361864780842,1.052186604476247,1.1059460894395272
Implement ConstantMergePass (#60),6.332143288824445,0.9861156141845662,1.037524886494077,1.0855257403455583,1.0366306880043386,1.0623053698371507,1.124040989958754
Sccp pass (#45),6.332143288824445,0.9861156141845662,1.037524886494077,1.0855257403455583,1.0366306880043386,1.0623053698371507,1.124040989958754
Add MemoryToStackPass (#51),6.459217314678668,0.9779136786252998,1.0589441884224393,1.1347467088909227,1.0578855073843465,1.09730622721868,1.1324210041369795
Return correct PreservedAnalysis (#59),6.459217314678668,0.9779136786252998,1.0589441884224393,1.1347467088909227,1.0578855073843465,1.09730622721868,1.1324210041369795
Fix filecheck details (#61),6.459217314678668,0.9779136786252998,1.0589441884224393,1.1347467088909227,1.0578855073843465,1.09730622721868,1.1324210041369795
