commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt
Add CI for build and filechecks (#3),6.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),6.234692357186791,1.0262598266364014,1.0359387979544348,1.0444074529204228,1.0360058250549518,1.039705313285173,1.052375141335407
Function inline pass bug fix (#20),6.234692357186791,1.0262598266364014,1.0359387979544348,1.0444074529204228,1.0360058250549518,1.039705313285173,1.052375141335407
FunctionInlinePass Function Attribute 미확인 (#58),6.234692357186791,1.0262598266364014,1.0359387979544348,1.0444074529204228,1.0360058250549518,1.039705313285173,1.052375141335407
RemoveUnusedPass (#10),6.234692357186791,1.0262598266364014,1.0359387979544348,1.0444074529204228,1.0360058250549518,1.039705313285173,1.052375141335407
Fix RemoveUnusedPass bug (#31),6.234692357186791,1.0262598266364014,1.0359387979544348,1.0444074529204228,1.0360058250549518,1.039705313285173,1.052375141335407
Arithmetic pass (#8),6.234692357186791,1.0262598266364014,1.0359387979544348,1.0444074529204228,1.0360058250549518,1.039705313285173,1.052375141335407
Fix wrong return value (#35),6.234692357186791,1.0262598266364014,1.0359387979544348,1.0444074529204228,1.0360058250549518,1.039705313285173,1.052375141335407
Add SimplifyCFGPass (#9),6.249072822520949,1.0296266438068176,1.0384055899963007,1.046379268075725,1.0385225899638757,1.0419685141171764,1.0541702165610545
Support compiler options (#17),6.249072822520949,1.0296266438068176,1.0384055899963007,1.046379268075725,1.0385225899638757,1.0419685141171764,1.0541702165610545
Automate testing benchmarks (#23),6.249072822520949,1.0296266438068176,1.0384055899963007,1.046379268075725,1.0385225899638757,1.0419685141171764,1.0541702165610545
Phierasepass (#27),6.249072822520949,1.0296266438068176,1.0384055899963007,1.046379268075725,1.0385225899638757,1.0419685141171764,1.0541702165610545
Fix PhierasePass Bug (#47),6.249072822520949,1.0296266438068176,1.0384055899963007,1.046379268075725,1.0385225899638757,1.0419685141171764,1.0541702165610545
Add GVNPass (#25),6.499415114533247,1.059172037391375,1.0774607918374108,1.0927362091162094,1.077939248034774,1.084055855975973,1.1080509721775051
Add BranchPredictPass (#29),6.70532893929635,1.079687386762042,1.1072131453403693,1.133339088233846,1.1080653655769774,1.1199169521215315,1.1571070012615827
Implement basic LoopVectorizePass (#32),6.70532893929635,1.079687386762042,1.1072131453403693,1.133339088233846,1.1080653655769774,1.1199169521215315,1.1571070012615827
Fix CI & compiler option (#42),6.70532893929635,1.079687386762042,1.1072131453403693,1.133339088233846,1.1080653655769774,1.1199169521215315,1.1571070012615827
Implement LoopUnrollPass (#49),6.903836290162692,1.0908132404888096,1.1329486374985382,1.1771456001987737,1.1339226156266216,1.1552616046723956,1.2137445916775533
Supplement LoopVectorizePass (#48),6.903836290162692,1.0908132404888096,1.1329486374985382,1.1771456001987737,1.1339226156266216,1.1552616046723956,1.2137445916775533
Refactor and add comments (#62),6.903836290162692,1.0908132404888096,1.1329486374985382,1.1771456001987737,1.1339226156266216,1.1552616046723956,1.2137445916775533
MatmulTransposePass (#52),6.903836290162692,1.0908132404888096,1.1329486374985382,1.1771456001987737,1.1339226156266216,1.1552616046723956,1.2137445916775533
Implement ConstantMergePass (#60),6.903836290162692,1.0908132404888096,1.1329486374985382,1.1771456001987737,1.1339226156266216,1.1552616046723956,1.2137445916775533
Sccp pass (#45),6.903836290162692,1.0908132404888096,1.1329486374985382,1.1771456001987737,1.1339226156266216,1.1552616046723956,1.2137445916775533
Add MemoryToStackPass (#51),7.414770135962158,1.1488512932238024,1.2111790372382396,1.2733975717860417,1.2123938736012907,1.2417437948288734,1.3272045652839104
Return correct PreservedAnalysis (#59),7.414770135962158,1.1488512932238024,1.2111790372382396,1.2733975717860417,1.2123938736012907,1.2417437948288734,1.3272045652839104
Fix filecheck details (#61),7.414770135962158,1.1488512932238024,1.2111790372382396,1.2733975717860417,1.2123938736012907,1.2417437948288734,1.3272045652839104
