commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),7.072883238888625,1.021429871098063,1.018050966287352,1.018044008614569,1.0100819757229622,1.0041790583880617,1.0010251846476592,1.0000721741299579
Function inline pass bug fix (#20),7.072883238888625,1.021429871098063,1.018050966287352,1.018044008614569,1.0100819757229622,1.0041790583880617,1.0010251846476592,1.0000721741299579
FunctionInlinePass Function Attribute 미확인 (#58),7.072883238888625,1.021429871098063,1.018050966287352,1.018044008614569,1.0100819757229622,1.0041790583880617,1.0010251846476592,1.0000721741299579
RemoveUnusedPass (#10),7.072883238888625,1.021429871098063,1.018050966287352,1.018044008614569,1.0100819757229622,1.0041790583880617,1.0010251846476592,1.0000721741299579
Fix RemoveUnusedPass bug (#31),7.072883238888625,1.021429871098063,1.018050966287352,1.018044008614569,1.0100819757229622,1.0041790583880617,1.0010251846476592,1.0000721741299579
Arithmetic pass (#8),7.072883238888625,1.021429871098063,1.018050966287352,1.018044008614569,1.0100819757229622,1.0041790583880617,1.0010251846476592,1.0000721741299579
Fix wrong return value (#35),7.072883238888625,1.021429871098063,1.018050966287352,1.018044008614569,1.0100819757229622,1.0041790583880617,1.0010251846476592,1.0000721741299579
Add SimplifyCFGPass (#9),7.083149811610382,1.0263759621129451,1.0197369248487096,1.019427892585416,1.0121401853277208,1.0042601111079061,1.001122846775494,1.0000858888521904
Support compiler options (#17),7.083149811610382,1.0263759621129451,1.0197369248487096,1.019427892585416,1.0121401853277208,1.0042601111079061,1.001122846775494,1.0000858888521904
Automate testing benchmarks (#23),7.083149811610382,1.0263759621129451,1.0197369248487096,1.019427892585416,1.0121401853277208,1.0042601111079061,1.001122846775494,1.0000858888521904
Phierasepass (#27),7.083149811610382,1.0263759621129451,1.0197369248487096,1.019427892585416,1.0121401853277208,1.0042601111079061,1.001122846775494,1.0000858888521904
Fix PhierasePass Bug (#47),7.083149811610382,1.0263759621129451,1.0197369248487096,1.019427892585416,1.0121401853277208,1.0042601111079061,1.001122846775494,1.0000858888521904
Add GVNPass (#25),7.083149811610382,1.0263759621129451,1.0197369248487096,1.019427892585416,1.0121401853277208,1.0042601111079061,1.001122846775494,1.0000858888521904
Add BranchPredictPass (#29),7.523053151575429,1.0263759621129451,1.0435031838148212,1.0473737695013876,1.0449031486539282,1.0956908671673988,1.1116540638376047,1.1535521564873434
Implement basic LoopVectorizePass (#32),7.523053151575429,1.0263759621129451,1.0435031838148212,1.0473737695013876,1.0449031486539282,1.0956908671673988,1.1116540638376047,1.1535521564873434
Fix CI & compiler option (#42),7.523053151575429,1.0263759621129451,1.0435031838148212,1.0473737695013876,1.0449031486539282,1.0956908671673988,1.1116540638376047,1.1535521564873434
Implement LoopUnrollPass (#49),7.608210650869944,0.9125926468373387,0.896110294895437,0.8915736258048521,0.9465389018376812,1.193653090129704,1.3098667176445475,1.457875373720384
Supplement LoopVectorizePass (#48),7.608210650869944,0.9125926468373387,0.896110294895437,0.8915736258048521,0.9465389018376812,1.193653090129704,1.3098667176445475,1.457875373720384
Refactor and add comments (#62),7.608210650869944,0.9125926468373387,0.896110294895437,0.8915736258048521,0.9465389018376812,1.193653090129704,1.3098667176445475,1.457875373720384
MatmulTransposePass (#52),7.608210650869944,0.9125926468373387,0.896110294895437,0.8915736258048521,0.9465389018376812,1.193653090129704,1.3098667176445475,1.457875373720384
Implement ConstantMergePass (#60),7.612760796706008,0.9125926468373387,0.896110294895437,0.8915736258048521,0.9503908168299784,1.1939239891243556,1.310239527839395,1.457929895374651
Sccp pass (#45),7.612760796706008,0.9125926468373387,0.896110294895437,0.8915736258048521,0.9503908168299784,1.1939239891243556,1.310239527839395,1.457929895374651
Add MemoryToStackPass (#51),8.015052074481865,0.9133127614581741,0.915921459773835,0.9147667013652456,0.9856429440625607,1.2752693897661627,1.4118748707493918,1.5982639473064957
Return correct PreservedAnalysis (#59),8.015052074481865,0.9133127614581741,0.915921459773835,0.9147667013652456,0.9856429440625607,1.2752693897661627,1.4118748707493918,1.5982639473064957
Fix filecheck details (#61),8.015052074481865,0.9133127614581741,0.915921459773835,0.9147667013652456,0.9856429440625607,1.2752693897661627,1.4118748707493918,1.5982639473064957
