commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),7.25222066027737,1.0283727975768502,1.0336478822321777,1.0350169946150503,1.029212116540085,1.0500625284973661,1.0389467257859448,1.0369616150298953
Function inline pass bug fix (#20),7.25222066027737,1.0283727975768502,1.0336478822321777,1.0350169946150503,1.029212116540085,1.0500625284973661,1.0389467257859448,1.0369616150298953
FunctionInlinePass Function Attribute 미확인 (#58),7.25222066027737,1.0283727975768502,1.0336478822321777,1.0350169946150503,1.029212116540085,1.0500625284973661,1.0389467257859448,1.0369616150298953
RemoveUnusedPass (#10),7.25222066027737,1.0283727975768502,1.0336478822321777,1.0350169946150503,1.029212116540085,1.0500625284973661,1.0389467257859448,1.0369616150298953
Fix RemoveUnusedPass bug (#31),7.25222066027737,1.0283727975768502,1.0336478822321777,1.0350169946150503,1.029212116540085,1.0500625284973661,1.0389467257859448,1.0369616150298953
Arithmetic pass (#8),7.25222066027737,1.0283727975768502,1.0336478822321777,1.0350169946150503,1.029212116540085,1.0500625284973661,1.0389467257859448,1.0369616150298953
Fix wrong return value (#35),7.25222066027737,1.0283727975768502,1.0336478822321777,1.0350169946150503,1.029212116540085,1.0500625284973661,1.0389467257859448,1.0369616150298953
Add SimplifyCFGPass (#9),7.296158992448815,1.0306735255036084,1.0378221559947824,1.0395215200442547,1.0332907760919225,1.0569958785431284,1.0474444069136066,1.0504107293575125
Support compiler options (#17),7.296158992448815,1.0306735255036084,1.0378221559947824,1.0395215200442547,1.0332907760919225,1.0569958785431284,1.0474444069136066,1.0504107293575125
Automate testing benchmarks (#23),7.296158992448815,1.0306735255036084,1.0378221559947824,1.0395215200442547,1.0332907760919225,1.0569958785431284,1.0474444069136066,1.0504107293575125
Phierasepass (#27),7.296158992448815,1.0306735255036084,1.0378221559947824,1.0395215200442547,1.0332907760919225,1.0569958785431284,1.0474444069136066,1.0504107293575125
Fix PhierasePass Bug (#47),7.296158992448815,1.0306735255036084,1.0378221559947824,1.0395215200442547,1.0332907760919225,1.0569958785431284,1.0474444069136066,1.0504107293575125
Add GVNPass (#25),7.3909250195499965,1.0529369195733838,1.0488278875260604,1.0495004276120856,1.0441747627954527,1.068205417294609,1.0603139942589657,1.06696561048944
Add BranchPredictPass (#29),7.917663026150195,1.1058509872644255,1.130575163870533,1.1359271156159485,1.1067295175937069,1.1915267853237874,1.1336052820834857,1.1134481743983073
Implement basic LoopVectorizePass (#32),7.917663026150195,1.1058509872644255,1.130575163870533,1.1359271156159485,1.1067295175937069,1.1915267853237874,1.1336052820834857,1.1134481743983073
Fix CI & compiler option (#42),7.917663026150195,1.1058509872644255,1.130575163870533,1.1359271156159485,1.1067295175937069,1.1915267853237874,1.1336052820834857,1.1134481743983073
Implement LoopUnrollPass (#49),8.0938782098096,1.132273658592418,1.1585279887410918,1.1654690505677072,1.1262108489333789,1.2333544395083487,1.1548727361878677,1.123169487278787
Supplement LoopVectorizePass (#48),8.0938782098096,1.132273658592418,1.1585279887410918,1.1654690505677072,1.1262108489333789,1.2333544395083487,1.1548727361878677,1.123169487278787
Refactor and add comments (#62),8.0938782098096,1.132273658592418,1.1585279887410918,1.1654690505677072,1.1262108489333789,1.2333544395083487,1.1548727361878677,1.123169487278787
MatmulTransposePass (#52),8.0938782098096,1.132273658592418,1.1585279887410918,1.1654690505677072,1.1262108489333789,1.2333544395083487,1.1548727361878677,1.123169487278787
Implement ConstantMergePass (#60),8.112984806509381,1.1342696775097296,1.1614243782757347,1.1685542313984223,1.1282936557580105,1.2382574842322367,1.15755499247187,1.1246303868633767
Sccp pass (#45),8.112984806509381,1.1342696775097296,1.1614243782757347,1.1685542313984223,1.1282936557580105,1.2382574842322367,1.15755499247187,1.1246303868633767
Add MemoryToStackPass (#51),8.28817217683823,1.1331460835477252,1.1727244048578012,1.1815778326294764,1.154341427842956,1.2634092335033742,1.215037234291667,1.1679359601652308
Return correct PreservedAnalysis (#59),8.28817217683823,1.1331460835477252,1.1727244048578012,1.1815778326294764,1.154341427842956,1.2634092335033742,1.215037234291667,1.1679359601652308
Fix filecheck details (#61),8.28817217683823,1.1331460835477252,1.1727244048578012,1.1815778326294764,1.154341427842956,1.2634092335033742,1.215037234291667,1.1679359601652308
