commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt
Add CI for build and filechecks (#3),5.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),5.1377861957756465,1.0318319680559558,1.0275181247048775,1.0428607177428915,1.0264433478819333,1.009132037389989
Function inline pass bug fix (#20),5.1377861957756465,1.0318319680559558,1.0275181247048775,1.0428607177428915,1.0264433478819333,1.009132037389989
FunctionInlinePass Function Attribute 미확인 (#58),5.1377861957756465,1.0318319680559558,1.0275181247048775,1.0428607177428915,1.0264433478819333,1.009132037389989
RemoveUnusedPass (#10),5.1377861957756465,1.0318319680559558,1.0275181247048775,1.0428607177428915,1.0264433478819333,1.009132037389989
Fix RemoveUnusedPass bug (#31),5.1377861957756465,1.0318319680559558,1.0275181247048775,1.0428607177428915,1.0264433478819333,1.009132037389989
Arithmetic pass (#8),5.1377861957756465,1.0318319680559558,1.0275181247048775,1.0428607177428915,1.0264433478819333,1.009132037389989
Fix wrong return value (#35),5.1377861957756465,1.0318319680559558,1.0275181247048775,1.0428607177428915,1.0264433478819333,1.009132037389989
Add SimplifyCFGPass (#9),5.213254136442122,1.040463139163504,1.0331209151675576,1.0532202778250181,1.0485959962237614,1.0378538080622803
Support compiler options (#17),5.213254136442122,1.040463139163504,1.0331209151675576,1.0532202778250181,1.0485959962237614,1.0378538080622803
Automate testing benchmarks (#23),5.213254136442122,1.040463139163504,1.0331209151675576,1.0532202778250181,1.0485959962237614,1.0378538080622803
Phierasepass (#27),5.213254136442122,1.040463139163504,1.0331209151675576,1.0532202778250181,1.0485959962237614,1.0378538080622803
Fix PhierasePass Bug (#47),5.213254136442122,1.040463139163504,1.0331209151675576,1.0532202778250181,1.0485959962237614,1.0378538080622803
Add GVNPass (#25),5.224476345696946,1.0417080873922593,1.0344084640060636,1.053783928504226,1.0541151881056652,1.0404606776887313
Add BranchPredictPass (#29),5.36123770035943,1.0363937081775882,1.0435636069892105,1.0705200681768692,1.0890671442588422,1.1216931727569204
Implement basic LoopVectorizePass (#32),5.36123770035943,1.0363937081775882,1.0435636069892105,1.0705200681768692,1.0890671442588422,1.1216931727569204
Fix CI & compiler option (#42),5.36123770035943,1.0363937081775882,1.0435636069892105,1.0705200681768692,1.0890671442588422,1.1216931727569204
Implement LoopUnrollPass (#49),5.005863175835737,0.9534160176939765,0.9532774798293382,0.9457345660140763,0.9789414111859033,1.1744937011124428
Supplement LoopVectorizePass (#48),5.005863175835737,0.9534160176939765,0.9532774798293382,0.9457345660140763,0.9789414111859033,1.1744937011124428
Refactor and add comments (#62),5.005863175835737,0.9534160176939765,0.9532774798293382,0.9457345660140763,0.9789414111859033,1.1744937011124428
MatmulTransposePass (#52),5.005863175835737,0.9534160176939765,0.9532774798293382,0.9457345660140763,0.9789414111859033,1.1744937011124428
Implement ConstantMergePass (#60),5.020295993063854,0.9534160176939765,0.9532774798293382,0.9457345660140763,0.9884258010739458,1.1794421284525178
Sccp pass (#45),5.020295993063854,0.9534160176939765,0.9532774798293382,0.9457345660140763,0.9884258010739458,1.1794421284525178
Add MemoryToStackPass (#51),5.295703564232692,0.95057489384307,0.9874914337562685,0.994041607816598,1.0507398921152342,1.312855736701522
Return correct PreservedAnalysis (#59),5.295703564232692,0.95057489384307,0.9874914337562685,0.994041607816598,1.0507398921152342,1.312855736701522
Fix filecheck details (#61),5.295703564232692,0.95057489384307,0.9874914337562685,0.994041607816598,1.0507398921152342,1.312855736701522
