commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt
Add CI for build and filechecks (#3),5.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),5.287420577953012,1.0363002670858477,1.0480969623716312,1.0557249144533885,1.05374994605594,1.0935484879862045
Function inline pass bug fix (#20),5.287420577953012,1.0363002670858477,1.0480969623716312,1.0557249144533885,1.05374994605594,1.0935484879862045
FunctionInlinePass Function Attribute 미확인 (#58),5.347203417985183,1.0420795150236275,1.057760602624524,1.0684388722878022,1.0713619538445989,1.1075624742046308
RemoveUnusedPass (#10),5.39298903536526,1.0420795150236275,1.057760602624524,1.0702241651138633,1.0944754091849636,1.128449343418282
Fix RemoveUnusedPass bug (#31),5.347203417985183,1.0420795150236275,1.057760602624524,1.0684388722878022,1.0713619538445989,1.1075624742046308
Arithmetic pass (#8),5.347203417985183,1.0420795150236275,1.057760602624524,1.0684388722878022,1.0713619538445989,1.1075624742046308
Fix wrong return value (#35),5.347203417985183,1.0420795150236275,1.057760602624524,1.0684388722878022,1.0713619538445989,1.1075624742046308
Add SimplifyCFGPass (#9),5.384220720594959,1.045656632455579,1.061993583328127,1.073414762322903,1.0804993034056607,1.1226564390826894
Support compiler options (#17),5.384220720594959,1.045656632455579,1.061993583328127,1.073414762322903,1.0804993034056607,1.1226564390826894
Automate testing benchmarks (#23),5.384220720594959,1.045656632455579,1.061993583328127,1.073414762322903,1.0804993034056607,1.1226564390826894
Phierasepass (#27),5.384220720594959,1.045656632455579,1.061993583328127,1.073414762322903,1.0804993034056607,1.1226564390826894
Fix PhierasePass Bug (#47),5.384220720594959,1.045656632455579,1.061993583328127,1.073414762322903,1.0804993034056607,1.1226564390826894
Add GVNPass (#25),5.507197547904483,1.0555111468678608,1.0701544200482858,1.082907095400485,1.11698795436758,1.1816369312202717
Add BranchPredictPass (#29),5.803785706719443,1.1250983563720955,1.147726360021624,1.1725301055363797,1.1435302538173477,1.2149006309719965
Implement basic LoopVectorizePass (#32),5.803785706719443,1.1250983563720955,1.147726360021624,1.1725301055363797,1.1435302538173477,1.2149006309719965
Fix CI & compiler option (#42),5.803785706719443,1.1250983563720955,1.147726360021624,1.1725301055363797,1.1435302538173477,1.2149006309719965
Implement LoopUnrollPass (#49),5.887606585319017,1.1470099440428392,1.1733917373831346,1.2026506724966781,1.146907311719925,1.2176469196764401
Supplement LoopVectorizePass (#48),5.887606585319017,1.1470099440428392,1.1733917373831346,1.2026506724966781,1.146907311719925,1.2176469196764401
Refactor and add comments (#62),5.887606585319017,1.1470099440428392,1.1733917373831346,1.2026506724966781,1.146907311719925,1.2176469196764401
MatmulTransposePass (#52),5.887606585319017,1.1470099440428392,1.1733917373831346,1.2026506724966781,1.146907311719925,1.2176469196764401
Implement ConstantMergePass (#60),5.8965204146499826,1.1495484748073517,1.1761505531981085,1.2058621109010499,1.1473011918017257,1.2176580839417461
Sccp pass (#45),5.8965204146499826,1.1495484748073517,1.1761505531981085,1.2058621109010499,1.1473011918017257,1.2176580839417461
Add MemoryToStackPass (#51),5.970002642359581,1.1516981446728514,1.1834982391847397,1.2161531773968828,1.1850949597032046,1.2335581214019022
Return correct PreservedAnalysis (#59),5.970002642359581,1.1516981446728514,1.1834982391847397,1.2161531773968828,1.1850949597032046,1.2335581214019022
Fix filecheck details (#61),5.970002642359581,1.1516981446728514,1.1834982391847397,1.2161531773968828,1.1850949597032046,1.2335581214019022
